Employee_Key,Employee_ID,Department,Role,Experience_Years,Salary_Band,Education,Performance_Rating,Hire_Date
89,E00089,Corporate Banking,Teller,23,Band 2 (5-8L),Graduate,Outstanding,2018-06-05
90,E00090,Retail Banking,Teller,12,Band 5 (20L+),CA,Needs Improvement,2015-11-11
91,E00091,Operations,Branch Manager,11,Band 1 (3-5L),CA,Meets Expectations,2018-12-21
92,E00092,Operations,Customer Service Rep,13,Band 1 (3-5L),Post Graduate,Exceeds Expectations,2002-04-22
93,E00093,Corporate Banking,Customer Service Rep,3,Band 4 (12-20L),Post Graduate,Exceeds Expectations,2012-11-25
94,E00094,Operations,Relationship Manager,27,Band 3 (8-12L),MBA,Meets Expectations,2014-01-06
95,E00095,Corporate Banking,Relationship Manager,25,Band 1 (3-5L),MBA,Exceeds Expectations,2015-10-10
96,E00096,Corporate Banking,Branch Manager,8,Band 2 (5-8L),Graduate,Exceeds Expectations,2004-08-24
97,E00097,Corporate Banking,IT Support,3,Band 1 (3-5L),MBA,Outstanding,2022-10-05
98,E00098,Corporate Banking,Customer Service Rep,17,Band 2 (5-8L),Post Graduate,Meets Expectations,2009-07-17
99,E00099,Treasury,Teller,25,Band 3 (8-12L),Post Graduate,Exceeds Expectations,2006-12-10
100,E00100,Operations,Teller,13,Band 3 (8-12L),Graduate,Outstanding,2021-08-18
101,E00101,Retail Banking,Teller,10,Band 3 (8-12L),MBA,Exceeds Expectations,2010-01-22
102,E00102,Operations,Loan Officer,17,Band 2 (5-8L),MBA,Outstanding,2004-11-08
103,E00103,Retail Banking,Customer Service Rep,3,Band 1 (3-5L),MBA,Needs Improvement,2015-09-15
104,E00104,Retail Banking,Teller,13,Band 1 (3-5L),MBA,Meets Expectations,2016-06-27
105,E00105,Corporate Banking,Analyst,22,Band 4 (12-20L),Post Graduate,Exceeds Expectations,2005-02-25
106,E00106,IT,Loan Officer,6,Band 3 (8-12L),MBA,Exceeds Expectations,2012-06-30
107,E00107,Corporate Banking,Relationship Manager,14,Band 2 (5-8L),Post Graduate,Meets Expectations,2010-02-22
108,E00108,HR,Loan Officer,27,Band 2 (5-8L),MBA,Exceeds Expectations,2019-04-01
109,E00109,Corporate Banking,Teller,10,Band 4 (12-20L),Post Graduate,Meets Expectations,2001-03-06
110,E00110,Retail Banking,Analyst,20,Band 2 (5-8L),MBA,Meets Expectations,2011-12-30
111,E00111,Treasury,Teller,16,Band 2 (5-8L),MBA,Exceeds Expectations,2001-04-19
112,E00112,Corporate Banking,Teller,18,Band 2 (5-8L),MBA,Needs Improvement,2008-02-03
113,E00113,IT,Customer Service Rep,13,Band 2 (5-8L),MBA,Exceeds Expectations,2012-04-04
114,E00114,IT,Loan Officer,10,Band 4 (12-20L),Post Graduate,Exceeds Expectations,2013-11-10
115,E00115,Risk & Compliance,Teller,6,Band 3 (8-12L),MBA,Meets Expectations,2015-03-30
116,E00116,Retail Banking,IT Support,10,Band 3 (8-12L),Post Graduate,Meets Expectations,2015-09-30
117,E00117,Retail Banking,Teller,5,Band 4 (12-20L),PhD,Meets Expectations,2000-04-10
118,E00118,IT,Teller,6,Band 5 (20L+),MBA,Meets Expectations,2008-02-20
119,E00119,Operations,Analyst,7,Band 2 (5-8L),Graduate,Exceeds Expectations,2006-06-05
120,E00120,Operations,Branch Manager,11,Band 1 (3-5L),MBA,Exceeds Expectations,2017-12-23
121,E00121,Retail Banking,Relationship Manager,16,Band 2 (5-8L),Post Graduate,Exceeds Expectations,2003-02-14
122,E00122,Retail Banking,Loan Officer,25,Band 1 (3-5L),PhD,Meets Expectations,2006-05-13
123,E00123,Corporate Banking,Relationship Manager,12,Band 3 (8-12L),MBA,Exceeds Expectations,2001-05-17
124,E00124,Retail Banking,IT Support,12,Band 4 (12-20L),Graduate,Outstanding,2004-02-12
125,E00125,Retail Banking,Teller,23,Band 3 (8-12L),Post Graduate,Needs Improvement,2009-08-25
126,E00126,Retail Banking,Loan Officer,20,Band 2 (5-8L),Post Graduate,Exceeds Expectations,2016-11-15
127,E00127,Retail Banking,Relationship Manager,26,Band 1 (3-5L),MBA,Exceeds Expectations,2018-10-31
128,E00128,IT,Teller,5,Band 2 (5-8L),MBA,Exceeds Expectations,2020-05-07
129,E00129,Operations,Loan Officer,16,Band 4 (12-20L),Post Graduate,Exceeds Expectations,2015-04-17
130,E00130,Retail Banking,Loan Officer,6,Band 2 (5-8L),MBA,Exceeds Expectations,2007-01-22
131,E00131,Retail Banking,Customer Service Rep,9,Band 1 (3-5L),Post Graduate,Outstanding,2016-08-06
132,E00132,Operations,Teller,5,Band 2 (5-8L),Graduate,Outstanding,2013-12-23
133,E00133,Retail Banking,Customer Service Rep,21,Band 5 (20L+),Graduate,Exceeds Expectations,2014-07-20
134,E00134,IT,Teller,23,Band 3 (8-12L),Post Graduate,Exceeds Expectations,2003-10-23
135,E00135,IT,Loan Officer,16,Band 4 (12-20L),Graduate,Outstanding,2002-05-11
136,E00136,HR,Loan Officer,18,Band 3 (8-12L),Graduate,Exceeds Expectations,2006-12-24
137,E00137,Operations,Relationship Manager,19,Band 2 (5-8L),Graduate,Exceeds Expectations,2007-01-23
138,E00138,Corporate Banking,Loan Officer,12,Band 1 (3-5L),CA,Outstanding,2002-03-26
139,E00139,Operations,Branch Manager,2,Band 2 (5-8L),Graduate,Meets Expectations,2003-08-29
140,E00140,Retail Banking,Loan Officer,26,Band 3 (8-12L),Graduate,Meets Expectations,2012-03-16
141,E00141,Retail Banking,Customer Service Rep,10,Band 4 (12-20L),Graduate,Exceeds Expectations,2019-11-16
142,E00142,Retail Banking,Relationship Manager,12,Band 2 (5-8L),Post Graduate,Exceeds Expectations,2019-01-08
143,E00143,Corporate Banking,Analyst,14,Band 1 (3-5L),Post Graduate,Meets Expectations,2021-10-14
144,E00144,Retail Banking,Teller,18,Band 3 (8-12L),Graduate,Meets Expectations,2019-10-30
145,E00145,Retail Banking,Analyst,19,Band 1 (3-5L),MBA,Needs Improvement,2018-07-30
146,E00146,Operations,Relationship Manager,6,Band 3 (8-12L),MBA,Exceeds Expectations,2012-04-02
147,E00147,Treasury,Analyst,5,Band 2 (5-8L),Post Graduate,Meets Expectations,2009-09-01
148,E00148,Retail Banking,Relationship Manager,27,Band 2 (5-8L),Post Graduate,Meets Expectations,2022-12-25
149,E00149,Corporate Banking,Teller,16,Band 2 (5-8L),Post Graduate,Exceeds Expectations,2005-02-07
150,E00150,Retail Banking,Analyst,14,Band 3 (8-12L),Graduate,Outstanding,2015-06-26
151,E00151,Risk & Compliance,Relationship Manager,13,Band 2 (5-8L),MBA,Exceeds Expectations,2019-04-14
152,E00152,Retail Banking,Branch Manager,21,Band 2 (5-8L),MBA,Outstanding,2004-12-21
153,E00153,HR,Customer Service Rep,2,Band 4 (12-20L),MBA,Outstanding,2012-09-14
154,E00154,Retail Banking,Loan Officer,2,Band 1 (3-5L),Post Graduate,Meets Expectations,2021-10-29
155,E00155,IT,Loan Officer,12,Band 1 (3-5L),CA,Exceeds Expectations,2013-11-01
156,E00156,Retail Banking,Branch Manager,1,Band 3 (8-12L),Post Graduate,Outstanding,2002-01-14
157,E00157,Retail Banking,Customer Service Rep,19,Band 1 (3-5L),Graduate,Meets Expectations,2009-11-21
158,E00158,Retail Banking,Relationship Manager,27,Band 2 (5-8L),Post Graduate,Exceeds Expectations,2017-09-23
159,E00159,Retail Banking,Analyst,16,Band 5 (20L+),MBA,Exceeds Expectations,2002-06-16
160,E00160,IT,Customer Service Rep,7,Band 3 (8-12L),MBA,Exceeds Expectations,2000-05-05
161,E00161,Operations,Customer Service Rep,27,Band 3 (8-12L),Post Graduate,Exceeds Expectations,2009-03-03
162,E00162,Corporate Banking,Relationship Manager,21,Band 3 (8-12L),Graduate,Exceeds Expectations,2013-07-09
163,E00163,Treasury,Analyst,7,Band 1 (3-5L),MBA,Meets Expectations,2009-06-22
164,E00164,Corporate Banking,Loan Officer,16,Band 2 (5-8L),CA,Exceeds Expectations,2006-02-26
165,E00165,Treasury,Analyst,25,Band 2 (5-8L),Graduate,Meets Expectations,2011-06-18
166,E00166,Retail Banking,Teller,6,Band 5 (20L+),MBA,Outstanding,2012-12-25
167,E00167,Risk & Compliance,Customer Service Rep,18,Band 2 (5-8L),Post Graduate,Needs Improvement,2014-09-19
168,E00168,Retail Banking,Loan Officer,1,Band 2 (5-8L),MBA,Meets Expectations,2005-05-19
169,E00169,Corporate Banking,Branch Manager,1,Band 4 (12-20L),Post Graduate,Needs Improvement,2000-05-06
170,E00170,Corporate Banking,Teller,26,Band 3 (8-12L),Post Graduate,Exceeds Expectations,2022-04-24
171,E00171,Corporate Banking,Relationship Manager,25,Band 5 (20L+),MBA,Meets Expectations,2019-04-26
172,E00172,Operations,Teller,14,Band 3 (8-12L),CA,Meets Expectations,2007-11-18
173,E00173,Corporate Banking,Teller,6,Band 2 (5-8L),Post Graduate,Meets Expectations,2005-10-17
174,E00174,Treasury,Teller,6,Band 4 (12-20L),Post Graduate,Outstanding,2017-01-20
175,E00175,Treasury,Loan Officer,4,Band 2 (5-8L),Graduate,Outstanding,2010-04-28
176,E00176,Treasury,Loan Officer,12,Band 1 (3-5L),Graduate,Exceeds Expectations,2022-06-10
177,E00177,Treasury,Branch Manager,18,Band 3 (8-12L),MBA,Outstanding,2015-11-20
178,E00178,IT,Customer Service Rep,10,Band 3 (8-12L),Graduate,Meets Expectations,2003-03-26
179,E00179,Treasury,Analyst,3,Band 4 (12-20L),MBA,Meets Expectations,2017-10-23
180,E00180,HR,Teller,3,Band 5 (20L+),Post Graduate,Meets Expectations,2001-11-24
181,E00181,Corporate Banking,Relationship Manager,8,Band 4 (12-20L),PhD,Exceeds Expectations,2019-07-27
182,E00182,IT,Loan Officer,22,Band 1 (3-5L),Graduate,Exceeds Expectations,2000-11-03
183,E00183,Risk & Compliance,Customer Service Rep,23,Band 3 (8-12L),Graduate,Exceeds Expectations,2020-08-15
184,E00184,Operations,Customer Service Rep,25,Band 3 (8-12L),Graduate,Exceeds Expectations,2003-06-29
185,E00185,Corporate Banking,Loan Officer,1,Band 5 (20L+),MBA,Meets Expectations,2014-01-16
186,E00186,Retail Banking,Relationship Manager,18,Band 2 (5-8L),Post Graduate,Exceeds Expectations,2019-04-04
187,E00187,IT,Customer Service Rep,15,Band 1 (3-5L),Graduate,Meets Expectations,2018-02-21
188,E00188,Treasury,Teller,25,Band 4 (12-20L),CA,Exceeds Expectations,2018-09-26
189,E00189,Corporate Banking,Relationship Manager,21,Band 2 (5-8L),CA,Meets Expectations,2012-12-26
190,E00190,Retail Banking,Relationship Manager,20,Band 3 (8-12L),MBA,Exceeds Expectations,2005-03-02
191,E00191,Retail Banking,Teller,17,Band 2 (5-8L),Graduate,Exceeds Expectations,2018-03-03
192,E00192,Operations,Loan Officer,25,Band 2 (5-8L),Post Graduate,Outstanding,2000-12-07
193,E00193,Retail Banking,Customer Service Rep,11,Band 3 (8-12L),MBA,Exceeds Expectations,2014-07-27
194,E00194,Operations,IT Support,13,Band 2 (5-8L),Post Graduate,Meets Expectations,2007-09-16
195,E00195,Treasury,Relationship Manager,25,Band 3 (8-12L),Graduate,Meets Expectations,2020-08-21
196,E00196,Operations,IT Support,20,Band 1 (3-5L),Graduate,Exceeds Expectations,2016-03-25
197,E00197,Corporate Banking,Customer Service Rep,25,Band 2 (5-8L),PhD,Exceeds Expectations,2003-12-14
198,E00198,Risk & Compliance,Teller,10,Band 2 (5-8L),Graduate,Meets Expectations,2019-08-04
199,E00199,Operations,Analyst,13,Band 3 (8-12L),MBA,Exceeds Expectations,2004-09-30
200,E00200,Retail Banking,Customer Service Rep,17,Band 2 (5-8L),Post Graduate,Exceeds Expectations,2010-11-30
201,E00201,Corporate Banking,Teller,21,Band 3 (8-12L),MBA,Meets Expectations,2019-07-18
202,E00202,Operations,Analyst,1,Band 3 (8-12L),MBA,Exceeds Expectations,2017-12-17
203,E00203,IT,Customer Service Rep,20,Band 3 (8-12L),Post Graduate,Meets Expectations,2003-07-12
204,E00204,Risk & Compliance,Customer Service Rep,16,Band 3 (8-12L),Post Graduate,Meets Expectations,2017-10-02
205,E00205,Retail Banking,Analyst,16,Band 2 (5-8L),MBA,Meets Expectations,2013-12-01
206,E00206,Retail Banking,Teller,21,Band 2 (5-8L),Post Graduate,Meets Expectations,2015-03-25
207,E00207,Retail Banking,Customer Service Rep,27,Band 3 (8-12L),MBA,Outstanding,2009-12-09
208,E00208,Operations,Customer Service Rep,3,Band 1 (3-5L),MBA,Exceeds Expectations,2014-12-09
209,E00209,IT,Teller,2,Band 4 (12-20L),Post Graduate,Needs Improvement,2007-07-17
210,E00210,Corporate Banking,Relationship Manager,6,Band 4 (12-20L),Post Graduate,Exceeds Expectations,2003-06-05
211,E00211,Corporate Banking,Customer Service Rep,11,Band 2 (5-8L),Graduate,Meets Expectations,2022-11-24
212,E00212,Treasury,Branch Manager,3,Band 3 (8-12L),MBA,Meets Expectations,2005-02-11
213,E00213,Risk & Compliance,Customer Service Rep,26,Band 4 (12-20L),Graduate,Meets Expectations,2022-11-16
214,E00214,Retail Banking,Analyst,1,Band 2 (5-8L),PhD,Exceeds Expectations,2008-09-11
215,E00215,IT,Teller,11,Band 3 (8-12L),PhD,Outstanding,2015-09-03
216,E00216,Operations,Relationship Manager,13,Band 1 (3-5L),Graduate,Exceeds Expectations,2015-10-01
217,E00217,Retail Banking,Relationship Manager,5,Band 2 (5-8L),Graduate,Exceeds Expectations,2006-08-16
218,E00218,Corporate Banking,Loan Officer,18,Band 4 (12-20L),Post Graduate,Needs Improvement,2010-08-07
219,E00219,Retail Banking,Analyst,15,Band 3 (8-12L),PhD,Meets Expectations,2004-08-11
220,E00220,Retail Banking,Loan Officer,18,Band 3 (8-12L),Post Graduate,Meets Expectations,2006-07-27
221,E00221,Operations,Relationship Manager,15,Band 4 (12-20L),Post Graduate,Exceeds Expectations,2011-06-25
222,E00222,Corporate Banking,Loan Officer,20,Band 3 (8-12L),MBA,Outstanding,2008-11-06
223,E00223,Corporate Banking,Customer Service Rep,20,Band 3 (8-12L),Graduate,Exceeds Expectations,2007-10-13
224,E00224,Corporate Banking,Teller,20,Band 3 (8-12L),Post Graduate,Exceeds Expectations,2006-11-09
225,E00225,Retail Banking,Customer Service Rep,7,Band 3 (8-12L),Graduate,Exceeds Expectations,2003-05-19
226,E00226,Operations,Teller,17,Band 4 (12-20L),MBA,Exceeds Expectations,2007-12-12
227,E00227,Corporate Banking,Customer Service Rep,8,Band 5 (20L+),Graduate,Exceeds Expectations,2022-03-01
228,E00228,Corporate Banking,Teller,13,Band 3 (8-12L),Post Graduate,Exceeds Expectations,2020-10-23
229,E00229,Treasury,Teller,26,Band 3 (8-12L),CA,Needs Improvement,2020-02-19
230,E00230,Retail Banking,Analyst,16,Band 1 (3-5L),Post Graduate,Exceeds Expectations,2014-07-01
231,E00231,Operations,Loan Officer,25,Band 4 (12-20L),MBA,Meets Expectations,2014-03-07
232,E00232,Corporate Banking,Teller,10,Band 3 (8-12L),Graduate,Exceeds Expectations,2006-10-09
233,E00233,HR,Analyst,14,Band 3 (8-12L),Post Graduate,Exceeds Expectations,2019-09-23
234,E00234,IT,Customer Service Rep,6,Band 2 (5-8L),Graduate,Exceeds Expectations,2003-01-23
235,E00235,Retail Banking,Relationship Manager,20,Band 4 (12-20L),Post Graduate,Meets Expectations,2021-01-12
236,E00236,Operations,Loan Officer,22,Band 1 (3-5L),Graduate,Exceeds Expectations,2019-11-02
237,E00237,Retail Banking,Analyst,26,Band 2 (5-8L),Graduate,Outstanding,2013-08-01
238,E00238,Treasury,Customer Service Rep,7,Band 3 (8-12L),Graduate,Meets Expectations,2012-04-27
239,E00239,Retail Banking,Relationship Manager,6,Band 3 (8-12L),Post Graduate,Outstanding,2002-07-09
240,E00240,IT,Loan Officer,27,Band 2 (5-8L),Post Graduate,Exceeds Expectations,2015-10-15
241,E00241,Retail Banking,Loan Officer,17,Band 3 (8-12L),Post Graduate,Exceeds Expectations,2022-10-04
242,E00242,Operations,Customer Service Rep,21,Band 2 (5-8L),Graduate,Exceeds Expectations,2003-04-30
243,E00243,Treasury,Relationship Manager,24,Band 1 (3-5L),MBA,Meets Expectations,2013-12-03
244,E00244,HR,Customer Service Rep,8,Band 1 (3-5L),Post Graduate,Meets Expectations,2020-09-17
245,E00245,Retail Banking,Branch Manager,12,Band 4 (12-20L),Post Graduate,Exceeds Expectations,2020-04-09
246,E00246,Corporate Banking,Customer Service Rep,26,Band 2 (5-8L),MBA,Outstanding,2001-09-08
247,E00247,Retail Banking,IT Support,25,Band 1 (3-5L),Post Graduate,Meets Expectations,2002-07-21
248,E00248,Corporate Banking,Relationship Manager,4,Band 3 (8-12L),Graduate,Exceeds Expectations,2016-07-16
249,E00249,Retail Banking,Teller,10,Band 2 (5-8L),Post Graduate,Meets Expectations,2012-11-16
250,E00250,Retail Banking,Loan Officer,6,Band 3 (8-12L),CA,Exceeds Expectations,2003-06-11
251,E00251,Corporate Banking,Customer Service Rep,7,Band 4 (12-20L),Post Graduate,Meets Expectations,2004-01-19
252,E00252,Retail Banking,Teller,21,Band 4 (12-20L),MBA,Needs Improvement,2022-09-29
253,E00253,Corporate Banking,Customer Service Rep,27,Band 2 (5-8L),MBA,Meets Expectations,2017-03-31
254,E00254,Retail Banking,Analyst,8,Band 2 (5-8L),Post Graduate,Exceeds Expectations,2020-10-03
255,E00255,Retail Banking,Customer Service Rep,3,Band 3 (8-12L),MBA,Meets Expectations,2001-11-03
256,E00256,Operations,Customer Service Rep,8,Band 2 (5-8L),Post Graduate,Meets Expectations,2020-03-04
257,E00257,Retail Banking,Teller,15,Band 1 (3-5L),Post Graduate,Meets Expectations,2008-06-11
258,E00258,Corporate Banking,Analyst,21,Band 2 (5-8L),Post Graduate,Outstanding,2014-06-03
259,E00259,Corporate Banking,Teller,1,Band 1 (3-5L),MBA,Meets Expectations,2021-05-02
260,E00260,Corporate Banking,Relationship Manager,13,Band 5 (20L+),Post Graduate,Outstanding,2022-06-28
261,E00261,Operations,Teller,22,Band 3 (8-12L),Graduate,Outstanding,2006-10-07
262,E00262,Corporate Banking,Customer Service Rep,18,Band 1 (3-5L),MBA,Meets Expectations,2002-10-10
263,E00263,Retail Banking,Analyst,15,Band 2 (5-8L),MBA,Outstanding,2020-03-17
264,E00264,HR,Relationship Manager,7,Band 5 (20L+),PhD,Meets Expectations,2004-08-22
265,E00265,Treasury,Customer Service Rep,15,Band 2 (5-8L),Post Graduate,Meets Expectations,2015-05-28
266,E00266,Retail Banking,Customer Service Rep,25,Band 3 (8-12L),Graduate,Needs Improvement,2003-10-13
