Attrition_ID,Customer_Key,Branch_Key,Date_Key,Months_Inactive,Complaints_Count,Avg_Balance,Transaction_Frequency,Loan_Default_Flag,Churn_Flag
137,1321,2,175,3,2,629756.5,43,0,0
138,991,6,809,9,8,578695.69,8,0,0
139,830,11,1692,26,0,851662.9,73,0,0
140,1566,2,1104,23,8,71549.12,59,0,0
141,465,7,1731,31,7,431326.95,41,0,1
142,1418,9,448,34,0,146788.1,35,0,0
143,901,1,191,2,11,567076.95,10,0,0
144,1965,19,1635,9,5,433180.74,57,0,0
145,453,8,884,14,6,192274.69,22,0,0
146,621,6,1579,6,4,604738.48,10,0,0
147,284,17,127,16,6,745864.57,20,0,0
148,604,18,551,1,13,104962.89,24,0,0
149,380,2,1433,11,14,780939.43,31,0,1
150,1546,11,82,7,8,487558.42,26,0,1
151,504,13,1000,2,2,532739.86,23,0,0
152,333,4,911,26,9,105875.5,48,0,1
153,576,20,1132,9,4,782423.09,67,0,0
154,1210,5,545,1,1,683262.21,35,0,0
155,1473,9,761,10,5,713715.64,9,0,0
156,135,8,1339,14,10,768253.88,77,0,1
157,840,16,1214,5,4,527229.37,9,0,0
158,1398,2,1234,7,4,172262.78,42,1,1
159,1222,18,534,18,10,798387.12,11,0,0
160,957,10,1707,13,8,234103.61,57,0,0
161,1813,12,398,13,11,261337.46,16,0,1
162,112,10,1762,17,2,841279.48,32,0,0
163,139,2,398,28,11,360772.91,57,0,1
164,1158,6,691,14,1,552312.32,63,0,0
165,1182,7,1398,26,14,111425.88,22,0,1
166,131,2,1213,35,0,739409.8,29,0,0
167,977,2,903,14,6,230549.92,2,0,1
168,752,2,1570,21,9,817018.14,53,0,1
169,1102,12,1429,20,6,757849.79,63,1,0
170,1703,5,408,14,8,377484.22,76,0,1
171,1276,9,657,29,13,491961.72,65,0,0
172,1034,13,361,6,7,916601.96,20,0,0
173,777,11,1492,0,4,684069.28,9,0,0
174,961,8,1251,26,0,509849.63,6,0,1
175,1943,4,1646,30,10,58930.83,24,0,0
176,1968,1,1304,7,4,99228.56,27,0,0
177,1869,5,817,4,8,70473.45,33,0,1
178,617,10,1671,3,3,101732.38,66,0,0
179,1688,6,1125,7,2,289701.21,5,1,0
180,1554,2,52,21,6,749932.45,44,0,1
181,824,18,649,12,11,431548.21,60,0,0
182,1711,12,867,0,12,294352.48,35,0,1
183,213,3,1533,16,0,114976.59,55,0,1
184,1526,10,628,14,12,853105.92,40,0,0
185,1999,3,899,28,4,314524.17,30,0,1
186,1533,4,338,34,11,909964.46,40,0,0
187,957,8,1217,21,1,579984.7,29,0,0
188,1457,9,161,34,4,689441.08,7,0,0
189,548,17,530,22,11,990914.66,5,0,1
190,1171,10,988,12,3,820853.41,5,0,1
191,874,10,154,22,4,508010.89,51,0,0
192,652,8,266,14,6,974815.36,5,0,0
193,864,15,109,20,10,804845,60,0,1
194,581,7,340,2,11,935558.98,68,0,0
195,682,18,281,4,11,168925.44,4,0,0
196,506,9,1283,14,5,305441.91,1,0,0
197,1211,7,126,31,8,464766.83,52,0,0
198,134,8,1450,32,0,795661.92,4,0,1
199,1992,18,665,1,10,691907.36,66,0,0
200,817,6,1581,16,11,545476.34,59,0,1
201,736,6,1698,13,12,789156.19,77,1,1
202,1858,4,775,15,2,657597.85,14,0,0
203,680,4,910,17,13,415777.98,8,0,1
204,1507,5,1801,2,6,512356.93,34,1,1
205,687,17,666,4,11,995337.41,5,0,0
206,724,1,688,14,9,649039.39,49,0,1
207,1472,20,464,27,8,606753.61,39,0,0
208,1605,4,808,1,4,96332.04,63,1,0
209,1276,8,1236,29,11,445214.31,60,0,1
210,967,19,741,8,11,698975.34,37,0,0
211,597,6,946,14,13,575578.35,55,0,0
212,1637,11,280,10,10,865607.48,33,0,0
213,402,14,1724,14,1,47954.37,22,0,0
214,716,10,485,31,3,326123.68,2,0,0
215,531,3,1448,6,9,481134.9,4,0,0
216,551,16,1489,3,11,698324.53,32,1,0
217,1324,14,730,26,7,869267.38,41,0,1
218,378,9,1648,30,0,321405.21,24,0,1
219,1173,3,999,31,3,398543.59,74,0,0
220,601,7,860,21,11,100068.37,65,0,1
221,1600,19,1081,30,12,13810.07,35,0,0
222,629,20,778,10,7,844115.34,6,0,0
223,1191,20,484,14,6,871189.5,22,0,0
224,1693,20,390,28,4,934539.88,61,0,0
225,1541,2,1290,11,8,513820.37,77,0,0
226,1587,20,1158,35,1,554873.12,44,0,0
227,1140,11,71,7,12,454357.75,5,0,0
228,291,15,56,20,11,451118.86,0,0,1
229,1950,2,1480,2,3,589453.33,24,0,0
230,1950,20,363,18,5,326795.12,28,0,0
231,1745,20,1648,0,13,810999.54,25,0,0
232,550,3,1320,22,5,719488.48,46,0,1
233,1110,4,940,18,10,601961.44,13,0,1
234,306,8,1495,26,10,570521.15,41,0,1
235,1785,11,713,15,13,684235.17,38,0,1
236,1138,15,1435,3,7,178848.37,59,0,0
237,631,15,1058,11,4,754778.23,5,0,0
238,420,10,1389,28,4,885756.53,48,0,0
239,1735,6,1116,13,11,626193.68,23,0,0
240,1903,13,515,3,3,941182.05,22,0,0
241,1459,20,13,5,9,161627.34,36,0,0
242,841,12,616,21,12,105331.44,75,0,0
243,1,13,214,34,13,599834.91,44,1,1
244,1343,3,654,30,8,746970.81,7,0,0
245,14,2,1703,32,5,181604.15,65,0,1
246,1531,9,1619,18,0,226585.92,3,0,0
247,178,6,852,31,3,537748.44,52,0,0
248,775,1,918,22,3,920598.69,34,0,0
249,859,20,235,35,13,25054.9,10,1,1
250,248,1,845,28,3,109474.09,19,0,0
251,1972,9,288,5,12,802310.53,48,0,0
252,278,15,479,29,5,927623.96,11,0,0
253,568,5,1740,25,14,816912.94,1,0,1
254,1995,8,852,5,10,655815.49,43,0,0
255,465,4,1434,5,9,849447.96,24,0,1
256,1987,11,12,20,8,818294.07,40,0,0
257,1211,16,1620,18,12,806402.51,16,0,0
258,1244,9,651,9,2,958579.51,69,0,1
259,1885,4,1200,27,13,971575.36,22,0,0
260,995,15,1229,34,3,233014.84,2,0,1
261,1254,4,438,23,11,567480.72,55,0,1
262,216,9,1790,11,12,367756.3,47,0,1
263,655,19,1032,25,4,591147.99,46,0,0
264,504,16,1487,11,9,844021.76,14,0,0
265,1149,18,1013,3,11,350636.26,70,0,1
266,6,16,1581,31,12,523818.91,16,0,1
267,902,6,1277,26,14,687220.02,35,0,1
268,188,5,1707,33,2,503667.28,37,0,1
269,445,19,729,12,3,969355.37,9,0,0
270,1035,15,516,8,11,458089.06,26,0,0
271,1363,15,1521,4,12,561782.86,45,0,0
272,1653,4,478,21,8,368048.42,17,0,0
273,921,15,790,16,12,88554.08,44,0,1
274,634,17,1266,28,6,768016.76,69,0,0
275,939,16,1439,12,3,777875.36,55,0,1
276,62,12,101,13,9,499916.91,13,0,0
277,563,6,334,0,14,29549.47,73,0,1
278,1899,2,1447,3,11,120980.2,13,0,0
279,404,17,630,25,3,657685.87,12,0,0
280,1945,3,448,20,9,207016.05,48,0,1
281,1852,17,714,5,10,258533.05,37,0,0
282,1444,4,1827,10,3,881006.03,79,0,0
283,402,9,1402,20,8,929902.96,20,0,1
284,1772,8,1570,23,3,509271.69,29,0,0
285,1600,16,1111,15,11,832445.21,39,0,0
286,830,17,856,13,1,688889.27,36,1,1
287,64,13,605,8,1,694764.13,21,0,0
288,1546,12,1802,20,13,379494.42,16,0,0
289,1599,2,1163,19,10,704714.76,61,0,0
290,1898,7,1445,25,5,209750.19,65,0,0
291,384,16,1248,23,3,701980.19,26,0,1
292,1221,6,266,32,10,624633.37,66,0,1
293,980,5,1624,3,10,885464.05,3,0,0
294,1597,10,1636,34,7,419015.71,56,1,0
295,1250,10,451,11,11,907718.81,4,0,0
296,720,11,642,12,5,556095.88,62,0,0
297,1501,6,1425,19,7,935418.84,42,0,0
298,432,12,866,17,1,21536.1,66,0,0
299,1268,3,1250,2,3,59956.43,40,0,0
300,1011,16,488,20,3,797280.65,6,0,1
301,803,19,268,20,2,796735.11,39,0,1
302,1374,14,1466,9,12,218598.21,5,0,1
303,16,12,1054,19,14,991607.44,3,0,0
304,15,8,343,21,3,704683.85,33,0,0
305,177,10,1724,9,10,371441.19,50,1,1
306,192,16,530,10,10,553500.18,34,0,0
307,1631,10,1772,32,2,148105.37,14,0,0
308,491,5,651,28,7,644674.23,29,0,1
309,168,9,1335,15,14,196317.64,37,0,0
310,1119,8,559,5,0,906232.8,79,0,0
311,160,19,632,26,9,144697.75,61,1,1
312,224,2,137,25,8,617088.45,68,0,1
313,610,16,1157,35,8,719165.01,48,0,1
314,267,1,839,31,1,407099.89,65,0,0
315,1508,7,1536,21,7,305506.44,6,0,1
316,753,4,1823,30,2,889821.76,66,0,1
317,948,18,841,11,5,304707.32,10,0,1
318,1242,4,1609,11,11,951330.94,54,0,0
319,670,15,1584,16,8,369487.58,71,0,0
320,344,19,1702,34,9,439259.28,38,1,1
321,937,10,785,24,2,503406.23,60,0,1
322,64,20,607,33,11,534670.14,43,0,1
323,817,15,217,11,1,290802.31,44,0,0
324,1428,2,732,33,5,683540.71,67,0,0
325,1337,4,707,16,6,302022.47,38,0,1
326,1538,14,1734,34,11,675886.52,70,1,1
327,223,2,771,10,12,340443.03,22,0,0
328,227,14,1540,23,2,848739.45,68,0,0
329,1056,11,712,24,3,299176.67,34,0,0
330,734,2,332,31,5,617853.46,0,0,0
331,890,12,667,14,9,830794.85,77,0,0
332,1653,14,1158,14,13,188100.48,40,0,0
333,777,19,1542,29,7,107403.71,13,0,0
334,1782,15,744,23,6,148667.01,36,0,0
335,727,7,1104,20,0,233777.51,20,0,0
336,261,3,550,10,10,581173.4,7,0,0
337,1636,15,1420,15,6,537652.48,77,0,1
338,602,16,1548,7,9,972549.24,55,0,1
339,975,16,31,5,5,322616.38,61,0,1
340,419,9,828,27,9,27378.32,35,0,0
341,354,16,42,28,13,393871.17,35,0,1
342,15,18,1324,22,14,886001.9,52,0,0
343,1148,18,1540,31,2,927667.69,42,0,0
344,119,11,1455,33,0,54314.02,0,1,1
345,1287,14,1681,22,7,742025.01,61,0,1
346,1792,13,436,33,14,138552.14,41,0,1
347,1654,13,1056,17,4,506461.37,75,0,1
348,172,8,816,34,11,979821.63,43,0,0
349,550,20,1256,7,9,746303.45,57,0,0
350,292,2,977,16,8,909817.62,64,0,0
351,468,10,1732,17,0,186834.65,13,0,1
352,1236,1,11,4,11,52165.48,25,0,0
353,1201,2,882,19,7,617302.18,27,0,0
354,1475,13,567,1,14,484730.65,77,0,0
355,956,11,2,30,9,386951.29,54,0,1
356,1265,1,1280,4,9,458553.96,60,0,0
357,587,12,698,31,11,172662.32,45,0,1
358,568,17,497,15,5,628156.03,14,0,0
359,1471,1,1648,31,7,867237.39,66,0,0
360,1803,19,418,25,14,470389.22,43,1,1
361,736,18,38,34,0,120987.99,77,0,0
362,440,2,159,6,1,919592.3,18,0,0
363,1329,2,243,8,6,64689.38,46,0,0
364,345,2,1480,28,5,792978.12,35,0,0
365,1797,20,214,8,14,603253.32,17,0,1
366,547,14,948,16,13,581256.84,66,0,0
367,666,18,193,6,10,637222.39,31,0,0
368,1173,3,839,27,7,772648.83,8,0,1
369,705,9,1436,33,2,906059.44,12,0,0
370,489,17,227,31,4,966505.63,26,0,1
371,571,1,810,8,13,262414.19,37,0,1
372,1937,6,317,4,1,455386.98,65,0,0
373,699,7,1512,8,13,207915.96,19,0,0
374,361,17,375,27,7,204186.75,51,0,0
375,1731,1,1465,13,11,991288.96,37,0,0
376,958,10,274,34,6,737380.52,33,0,1
377,1819,1,259,5,3,770241.72,35,0,0
378,794,4,1461,17,9,802648.75,14,0,0
379,168,1,1187,29,14,379868.02,29,0,0
380,1168,20,1323,16,1,61051.28,55,0,0
381,1437,10,682,0,5,945419.17,16,0,0
382,1685,14,518,25,6,855638.09,8,0,1
383,324,2,1827,25,13,947787.75,67,0,0
384,405,5,1300,10,4,328868.33,21,1,0
385,166,1,1486,26,0,610024.02,6,0,1
386,1129,3,1283,13,4,8399.32,56,0,0
387,1885,11,692,0,14,954370.97,44,0,0
388,1827,2,455,31,11,493605.08,0,0,0
389,79,11,1656,11,6,415455.89,20,0,0
390,491,2,905,34,13,621537.25,67,0,0
391,1462,15,753,29,6,441818.83,74,0,0
392,1535,3,1219,12,10,72523.33,28,0,0
393,1092,4,1344,31,9,114861.62,10,0,0
394,438,1,259,14,13,192162.49,50,0,1
395,1753,5,1255,28,10,178375.9,63,0,1
396,433,5,267,33,4,826669.8,32,0,1
397,811,4,1343,29,11,80220.83,48,0,0
398,532,14,1542,2,1,788299.57,22,0,0
399,377,6,554,25,4,3920.57,17,0,1
400,1167,8,1778,29,6,53502.69,70,0,0
401,664,17,1075,24,10,392146.56,5,0,0
402,1805,14,1385,3,6,179201.13,25,0,0
403,74,8,1687,26,14,907790.46,35,0,1
404,1258,8,1069,5,6,70503.8,26,0,0
405,1355,8,511,17,13,949056.66,48,0,0
406,1269,10,1288,27,6,868496.22,69,0,1
407,1585,1,1341,10,6,601775.55,46,0,0
408,379,14,175,15,8,860749.33,77,0,0
409,412,10,915,35,5,249568.22,40,0,1
410,119,10,1678,30,10,307467.82,0,0,1
411,692,15,601,22,11,348829.03,21,0,0
412,911,3,579,15,9,970241.29,19,0,0
413,532,4,37,28,7,376217.14,55,0,0
414,236,8,1609,9,6,919856.8,2,1,0
415,290,16,931,5,5,332816.15,29,0,0
416,1037,7,1799,21,12,481494.26,72,0,1
417,1703,3,914,2,4,285874.3,72,0,0
418,1934,18,110,33,2,763837.37,16,0,0
419,897,3,1384,15,0,132438.28,31,0,0
420,1548,9,1610,22,12,46427.98,77,0,0
421,278,16,1523,20,2,325582.68,48,0,0
422,206,2,335,32,8,476634.51,13,0,1
423,1567,16,758,31,0,947270.25,31,0,1
424,1963,5,1741,13,13,578987.75,29,0,0
425,1317,13,687,30,8,165154.56,58,0,1
426,736,10,337,33,11,685333.96,28,0,1
427,1270,1,384,19,10,570076.58,59,0,1
428,549,15,588,31,5,751791.57,58,0,0
429,91,18,1295,20,13,238283.2,24,0,0
430,1220,20,832,6,11,809079.26,5,0,1
431,1225,7,1515,22,0,202392.11,22,0,0
432,1991,15,653,5,9,228416.58,1,0,0
433,1172,3,587,27,14,522280.96,66,0,1
434,384,8,198,28,10,326492.56,56,0,1
435,1037,17,133,31,7,55199.7,19,0,0
436,145,14,1146,6,0,781922.63,34,0,0
437,1446,20,1350,24,12,683348.76,70,0,1
438,155,17,1405,16,14,700301.92,56,0,0
439,726,2,1527,17,0,460736.31,56,0,0
440,656,3,886,18,10,624742.09,40,0,0
441,613,7,733,11,6,57575.98,44,0,0
442,1209,20,737,5,14,29311.8,45,0,0
443,1612,8,1755,28,5,642451.31,49,0,0
444,1839,17,70,0,4,949164.25,42,0,1
445,655,3,1822,33,9,57310.48,67,0,1
446,419,14,373,2,3,280187.51,61,0,0
447,196,3,1581,10,9,236956.47,3,0,1
448,1683,15,759,10,5,421717.96,47,0,0
449,125,15,649,25,11,745908.8,22,0,0
450,637,1,487,5,7,854639.71,79,0,1
451,1531,10,1333,20,2,270402.4,7,0,1
452,776,10,63,26,2,439714.21,12,0,1
453,585,13,1074,5,6,261679.61,42,0,0
454,1950,7,1027,30,7,926507.42,77,0,0
455,958,11,536,9,9,149069.45,38,0,1
456,341,18,1102,25,12,884756.41,77,0,0
457,495,20,1065,7,11,938382.69,14,0,0
458,430,16,1050,26,14,147007.61,38,0,1
459,1525,16,1827,14,7,676826.61,2,0,0
460,964,4,154,18,12,222071.13,43,0,0
461,1918,14,772,23,5,865686.24,60,0,1
462,35,8,277,24,6,672932.94,74,0,0
463,1286,5,844,33,7,390976.82,60,0,0
464,16,9,1263,3,6,500709.19,69,0,0
465,1741,19,42,4,3,19718.43,0,0,0
466,1912,20,185,24,6,591764.3,54,0,0
467,1108,7,1656,29,3,615116.81,59,0,1
468,1912,14,1764,9,10,742272.12,25,1,1
469,198,8,42,15,1,231855.26,33,0,0
470,1546,16,1627,4,2,170406.28,59,0,0
471,492,19,1732,20,5,739287.62,71,0,0
472,355,18,174,0,14,689863.52,50,0,0
473,311,11,1128,12,4,475096.4,56,1,1
474,1728,1,54,27,14,931198.5,71,0,1
475,1581,10,1281,35,3,805122.84,25,0,0
476,1139,2,1811,9,3,526229.98,32,0,0
477,849,3,1801,32,11,629621.43,33,0,0
478,1796,11,354,14,1,884334.01,42,0,1
479,450,3,1063,32,4,510298.98,37,0,0
480,506,4,620,31,9,681839.31,66,0,1
481,990,16,1745,14,13,41206.76,15,0,1
482,1808,6,574,9,9,891463.78,73,0,0
483,1483,7,1781,16,1,239496.84,36,0,1
484,1104,2,1250,28,9,261216.72,45,0,0
485,1571,3,503,27,6,141756.23,26,0,1
486,1059,14,1791,34,1,672231.43,30,0,1
487,118,19,1352,12,11,308265.11,16,0,0
488,634,6,1340,11,1,444785.07,24,0,0
489,1372,13,738,7,14,646096.81,21,0,0
490,1647,6,878,10,1,808369.55,62,1,0
491,1923,11,1822,1,13,182451.48,46,0,0
492,908,6,1273,24,4,805715.94,53,0,0
493,1256,1,148,16,0,691991.57,76,0,1
494,99,14,1550,15,10,129001.56,6,0,0
495,1491,16,595,30,1,225959.97,8,0,1
496,88,5,376,35,14,82008.19,19,0,1
497,290,20,124,21,11,861766.31,31,0,0
498,1354,10,147,27,8,136125.06,78,0,1
499,1175,5,925,17,3,543356.23,45,0,0
500,604,2,561,15,5,198207.77,29,0,0
501,943,17,1044,14,4,280038.5,79,0,0
502,670,9,1764,35,10,987539.73,35,0,0
503,1515,20,287,5,0,899348,58,0,0
504,1916,1,1554,15,6,458730.26,53,0,1
505,1693,14,382,15,6,381778.17,15,0,0
506,703,17,1606,23,2,194679.21,3,0,1
507,1618,2,898,27,10,849955.95,41,0,1
508,666,2,1419,30,0,439407.47,48,0,1
509,457,9,1270,1,4,115563.45,61,0,0
510,1674,3,1293,17,3,883064.86,55,0,1
511,451,2,732,17,3,438391.65,42,0,0
512,89,9,625,1,10,726629.83,25,0,1
513,111,13,1770,34,6,123461.57,51,0,0
514,1485,9,1824,15,4,456554.56,70,0,0
515,1110,17,1508,26,7,272083.63,42,0,1
516,431,9,534,22,3,454836.42,65,0,0
517,782,4,279,15,12,233088.61,69,0,1
518,1086,13,1519,25,10,500239.76,74,0,1
519,632,14,772,19,2,841354.27,5,0,1
520,1710,17,332,35,7,655616.35,9,0,1
521,1476,12,1145,12,0,842074.6,37,0,0
522,1327,12,579,27,9,162567.84,0,0,1
523,635,19,992,22,5,223024.32,43,0,1
524,833,4,1446,28,13,653279.27,63,0,1
525,1145,9,895,2,13,704171.78,23,0,0
526,589,18,107,23,2,443169.18,61,0,1
527,1504,10,1149,16,5,828721.57,28,0,0
528,55,15,802,1,3,791546.39,78,0,0
529,1560,9,313,25,1,407094.91,44,0,1
530,252,3,1117,35,11,352381.36,44,0,1
531,443,19,671,31,5,282310.48,48,0,0
532,1265,2,680,28,6,169601.11,58,0,0
533,424,6,358,5,11,150255.34,38,0,0
534,1760,8,897,32,3,607966.01,66,0,1
535,854,17,363,17,3,292815.32,26,0,0
536,1905,17,999,25,13,853244.67,7,0,1
537,933,2,1096,12,14,603489.45,37,0,1
538,1078,2,62,19,14,429749.52,31,0,0
539,1748,9,1732,9,2,925350.16,2,0,0
540,1484,18,689,9,10,495837.66,52,0,0
541,787,7,1041,19,1,401065.16,48,0,0
542,285,1,632,13,6,446193.04,72,0,1
543,974,16,1611,32,3,425413.22,22,0,1
544,62,11,384,1,7,197909.55,6,0,1
545,451,20,1360,19,1,541972.01,31,0,1
546,591,14,72,17,1,571051.1,75,0,0
547,303,8,291,15,5,975230.73,43,0,0
548,1221,18,1609,19,1,872622.58,6,0,0
549,365,12,1787,16,8,55200.51,59,0,0
550,502,2,553,23,14,444531.3,20,0,1
551,531,18,283,32,10,38041.01,3,0,1
552,1475,20,385,30,6,520028.69,2,0,1
553,1104,3,1132,35,11,38741.46,25,0,1
554,142,2,1384,1,13,615024.95,8,0,1
555,398,6,31,19,4,509284.37,40,0,1
556,599,6,1476,25,13,477010.08,68,0,1
557,454,13,1422,21,3,254895.54,69,0,0
558,1660,20,1305,14,12,484429.57,43,0,1
559,1704,16,1446,25,10,664517.92,9,0,1
560,702,9,36,23,6,588656.23,58,0,0
561,459,4,616,6,14,142219.42,61,0,1
562,528,17,651,34,13,498660.89,0,0,1
563,105,3,1120,35,9,29750.8,0,0,0
564,320,17,949,2,10,183081,27,0,0
565,170,20,203,1,13,16390.24,2,0,0
566,1855,16,987,11,1,128627.98,43,1,0
567,768,14,785,28,10,421256.82,0,0,1
568,1543,3,1369,9,11,892796.86,18,0,0
569,1162,6,1409,10,1,227188.1,23,0,0
570,1937,20,1386,18,4,462969.26,15,0,0
571,1089,9,500,28,3,407643.09,11,0,0
572,1627,5,1739,34,5,529168.36,34,0,0
573,1297,3,273,11,3,320853.38,75,0,0
574,1891,14,1370,33,5,976723.4,77,0,0
575,844,1,400,15,13,613875.18,58,0,1
576,1488,2,813,24,13,322742.34,1,0,0
577,224,20,292,15,12,545365.51,41,0,0
578,1116,8,113,5,4,228881.23,7,0,0
