Customer_Key,Customer_ID,Age,Gender,Occupation,Income_Bracket,Customer_Segment,Account_Type,Risk_Category,Join_Date,Credit_Score
39,C000039,32,Female,Salaried,Mid,Retail,Savings,Medium,2013-01-27,844
40,C000040,27,Male,Salaried,Mid,Corporate,Salary,Low,2021-07-06,561
41,C000041,24,Male,Retired,High,Premium,Salary,High,2022-01-14,564
42,C000042,35,Male,Self-Employed,Low,Retail,Savings,Low,2014-10-16,577
43,C000043,23,Male,Self-Employed,Mid,Retail,Savings,Low,2020-10-30,841
44,C000044,53,Female,Salaried,Mid,Retail,Current,Medium,2017-09-28,799
45,C000045,52,Male,Retired,Mid,Premium,Savings,Medium,2016-10-25,647
46,C000046,32,Female,Business Owner,Mid,Corporate,Savings,Medium,2016-02-13,588
47,C000047,43,Male,Salaried,Mid,Retail,Current,Low,2014-09-29,587
48,C000048,24,Female,Business Owner,Mid,Premium,Savings,Low,2015-06-01,849
49,C000049,52,Female,Self-Employed,High,Corporate,NRI,Medium,2023-09-26,728
50,C000050,54,Male,Salaried,Low,SME,Savings,High,2021-07-25,646
51,C000051,45,Female,Self-Employed,High,Premium,Savings,Medium,2016-10-10,831
52,C000052,22,Female,Self-Employed,Mid,SME,Savings,Low,2014-02-23,787
53,C000053,65,Female,Salaried,High,Premium,Salary,High,2014-01-15,713
54,C000054,36,Female,Retired,Mid,Retail,Current,Low,2017-04-06,646
55,C000055,58,Female,Student,Mid,Corporate,NRI,Medium,2014-02-01,806
56,C000056,48,Female,Business Owner,Low,Retail,Savings,Low,2017-01-10,811
57,C000057,59,Male,Self-Employed,High,Retail,Savings,Low,2022-07-04,842
58,C000058,69,Male,Self-Employed,Low,Retail,Savings,Medium,2016-11-09,807
59,C000059,48,Male,Business Owner,High,Corporate,Savings,Medium,2019-10-09,798
60,C000060,65,Male,Self-Employed,High,Corporate,Current,Low,2015-12-20,794
61,C000061,33,Male,Salaried,Low,Retail,Current,Low,2022-01-19,800
62,C000062,24,Male,Self-Employed,Low,Retail,Savings,Low,2013-06-27,672
63,C000063,51,Female,Student,Mid,Retail,Salary,Medium,2021-03-08,718
64,C000064,53,Male,Self-Employed,Low,Premium,Savings,Low,2018-02-25,724
65,C000065,44,Male,Salaried,High,Retail,Salary,Low,2019-01-06,818
66,C000066,23,Female,Student,Low,Corporate,Savings,Medium,2014-05-27,753
67,C000067,28,Male,Salaried,Low,Retail,Savings,Medium,2023-11-30,615
68,C000068,55,Female,Salaried,High,Retail,Savings,Medium,2023-05-06,608
69,C000069,53,Male,Salaried,Mid,Retail,Savings,Medium,2017-03-31,768
70,C000070,60,Other,Salaried,High,Retail,Current,High,2013-11-19,815
71,C000071,53,Female,Student,Mid,SME,Savings,High,2019-03-12,690
72,C000072,64,Male,Self-Employed,Mid,Retail,Savings,Medium,2016-04-15,785
73,C000073,64,Male,Salaried,Mid,Retail,Current,Medium,2022-04-21,767
74,C000074,35,Female,Retired,Mid,Retail,Current,Low,2020-01-19,564
75,C000075,24,Female,Retired,Mid,Retail,NRI,High,2019-12-09,687
76,C000076,67,Female,Retired,Mid,Retail,Savings,Low,2022-12-06,781
77,C000077,53,Female,Salaried,Mid,Retail,Current,Low,2022-08-31,638
78,C000078,64,Male,Self-Employed,Low,Premium,Current,Low,2017-01-21,626
79,C000079,57,Male,Homemaker,Mid,Premium,Savings,Low,2019-06-23,685
80,C000080,38,Male,Student,Low,Retail,Savings,High,2015-02-27,659
81,C000081,69,Female,Salaried,Mid,Retail,Savings,Medium,2020-11-25,640
82,C000082,24,Female,Salaried,Low,SME,Savings,Medium,2013-10-12,739
83,C000083,31,Male,Self-Employed,Mid,Retail,Savings,Medium,2013-07-07,622
84,C000084,68,Male,Retired,Mid,Retail,Savings,Low,2020-06-01,722
85,C000085,61,Male,Self-Employed,Low,Retail,Current,Low,2015-07-23,584
86,C000086,39,Male,Self-Employed,Low,Retail,Current,Medium,2021-09-02,759
87,C000087,24,Female,Salaried,Low,Corporate,Salary,Medium,2016-03-31,847
88,C000088,60,Female,Business Owner,Mid,Retail,Current,Low,2013-11-23,682
89,C000089,31,Female,Student,High,Premium,Savings,Medium,2022-08-05,832
90,C000090,30,Male,Salaried,Low,Retail,NRI,Low,2015-08-12,747
91,C000091,67,Male,Student,Mid,Retail,NRI,Low,2022-09-20,581
92,C000092,67,Female,Homemaker,Mid,Corporate,Savings,Low,2014-02-18,685
93,C000093,32,Female,Salaried,Mid,Retail,Current,Low,2017-04-06,797
94,C000094,54,Female,Self-Employed,High,Premium,Salary,Medium,2016-02-13,695
95,C000095,57,Female,Salaried,Mid,Retail,Savings,Medium,2018-02-01,692
96,C000096,47,Male,Student,Mid,Premium,Salary,Low,2020-02-17,783
97,C000097,48,Female,Self-Employed,Low,Retail,Savings,Medium,2022-05-10,593
98,C000098,59,Male,Business Owner,Low,Corporate,Savings,Medium,2017-02-03,581
99,C000099,43,Male,Student,Low,Retail,Savings,Low,2014-10-29,780
100,C000100,47,Male,Salaried,Low,Corporate,Current,Low,2017-02-25,577
101,C000101,43,Male,Retired,Mid,Retail,NRI,High,2016-12-26,709
102,C000102,26,Female,Self-Employed,Mid,Premium,Salary,Medium,2015-05-09,756
103,C000103,56,Male,Salaried,Mid,Retail,Savings,High,2020-07-08,567
104,C000104,23,Male,Business Owner,Low,SME,Savings,Low,2015-12-30,652
105,C000105,56,Female,Student,Low,Retail,NRI,Medium,2020-11-14,619
106,C000106,30,Male,Salaried,Mid,Retail,Current,Low,2023-07-04,668
107,C000107,39,Male,Retired,High,Retail,Savings,Low,2020-08-31,688
108,C000108,64,Female,Retired,Low,Retail,Savings,Medium,2020-04-08,709
109,C000109,33,Male,Salaried,High,Retail,Current,Low,2013-10-20,781
110,C000110,24,Male,Homemaker,Mid,SME,Current,Low,2019-11-01,697
111,C000111,39,Male,Salaried,Mid,SME,Savings,Low,2020-02-14,792
112,C000112,59,Male,Salaried,Mid,Retail,Savings,Low,2014-12-02,584
113,C000113,28,Female,Salaried,Low,SME,Salary,Medium,2018-12-28,788
114,C000114,54,Female,Retired,Low,Premium,Current,Low,2021-03-06,698
115,C000115,27,Female,Business Owner,Mid,Retail,Savings,Low,2015-09-30,660
116,C000116,39,Female,Salaried,Mid,Premium,Savings,Low,2014-11-01,566
117,C000117,66,Female,Self-Employed,High,Premium,Current,Low,2018-03-09,775
118,C000118,43,Male,Business Owner,Mid,SME,Savings,Medium,2017-04-04,689
119,C000119,60,Female,Salaried,Low,Retail,Savings,Low,2016-01-11,693
120,C000120,30,Female,Retired,Mid,Premium,Savings,Medium,2023-05-19,809
121,C000121,56,Female,Student,Low,Retail,Savings,Low,2020-03-06,766
122,C000122,44,Female,Self-Employed,Mid,Retail,Current,Low,2020-09-19,711
123,C000123,33,Male,Homemaker,Mid,Retail,Savings,High,2019-04-01,641
124,C000124,45,Male,Self-Employed,High,SME,Current,Medium,2015-06-19,723
125,C000125,61,Male,Homemaker,Mid,Corporate,Savings,Low,2020-09-05,754
126,C000126,30,Male,Business Owner,Mid,Corporate,Savings,Medium,2016-08-21,702
127,C000127,34,Female,Business Owner,Mid,Premium,Savings,Low,2022-06-15,652
128,C000128,61,Female,Salaried,High,Retail,Salary,Medium,2021-08-14,751
129,C000129,63,Male,Retired,Low,Retail,NRI,Medium,2021-09-14,829
130,C000130,38,Male,Self-Employed,Low,Retail,Savings,Medium,2013-08-18,614
131,C000131,28,Male,Salaried,Low,Retail,Current,High,2015-07-28,666
132,C000132,38,Male,Salaried,Low,Corporate,Current,Low,2022-03-21,702
133,C000133,45,Male,Self-Employed,Mid,Premium,Salary,Medium,2013-05-12,705
134,C000134,23,Male,Self-Employed,Mid,Retail,Savings,Low,2022-01-11,713
135,C000135,56,Female,Business Owner,Mid,Retail,Current,Low,2016-07-16,631
136,C000136,49,Male,Retired,Low,Retail,Savings,Low,2017-07-02,555
137,C000137,40,Male,Salaried,Mid,Retail,Savings,Low,2016-01-02,616
138,C000138,54,Female,Business Owner,Mid,SME,Salary,Medium,2013-09-29,787
139,C000139,42,Male,Salaried,Mid,Premium,Savings,Medium,2015-05-15,621
140,C000140,31,Female,Retired,Mid,Corporate,Savings,Medium,2023-03-30,644
141,C000141,67,Female,Student,Mid,Retail,Savings,Low,2023-07-30,627
142,C000142,66,Male,Self-Employed,Low,Retail,Current,Low,2019-05-13,616
143,C000143,30,Male,Business Owner,Low,Retail,Current,High,2022-10-30,725
144,C000144,59,Male,Salaried,High,Corporate,Savings,Low,2021-01-19,721
145,C000145,27,Male,Self-Employed,High,Corporate,Salary,Medium,2016-07-12,804
146,C000146,63,Male,Student,Mid,Retail,Savings,Medium,2015-05-21,612
147,C000147,56,Female,Self-Employed,Low,Premium,Savings,Medium,2020-05-08,795
148,C000148,39,Male,Salaried,Mid,Retail,Salary,Medium,2018-08-07,741
149,C000149,40,Male,Self-Employed,Mid,Premium,Savings,High,2017-06-09,620
150,C000150,26,Male,Student,Mid,SME,Savings,Low,2022-12-03,778
151,C000151,46,Female,Salaried,Low,Premium,Savings,High,2023-04-04,612
152,C000152,32,Male,Salaried,Low,Premium,NRI,Low,2020-03-18,846
153,C000153,31,Male,Business Owner,Mid,Retail,Savings,Low,2018-02-23,794
154,C000154,38,Male,Student,Mid,Retail,Salary,Low,2014-08-09,556
155,C000155,57,Other,Salaried,Low,Retail,Current,Medium,2015-12-21,809
156,C000156,47,Male,Salaried,Low,Retail,Savings,Low,2014-07-26,638
157,C000157,52,Female,Salaried,Mid,Premium,Current,Low,2015-10-08,726
158,C000158,53,Female,Salaried,High,Premium,Savings,Low,2021-05-10,753
159,C000159,42,Male,Self-Employed,High,Retail,Savings,High,2019-04-19,683
160,C000160,39,Female,Business Owner,Mid,Corporate,Current,Medium,2019-01-17,631
161,C000161,39,Male,Business Owner,Mid,Retail,Salary,Medium,2015-12-13,570
162,C000162,22,Female,Business Owner,Low,Retail,Savings,Medium,2021-05-18,677
163,C000163,35,Female,Salaried,Mid,Retail,Savings,Low,2019-07-23,744
164,C000164,29,Female,Student,Mid,Retail,Savings,Low,2017-10-21,743
165,C000165,23,Male,Self-Employed,Mid,Retail,Savings,High,2023-01-26,733
166,C000166,36,Female,Homemaker,Mid,Retail,Savings,Low,2019-07-19,796
167,C000167,55,Male,Business Owner,Low,Retail,Savings,Low,2017-06-24,709
168,C000168,57,Male,Salaried,Low,SME,Current,Low,2017-01-22,743
169,C000169,22,Male,Business Owner,Mid,Retail,Savings,Low,2015-06-18,659
170,C000170,42,Female,Salaried,Low,Retail,Savings,Low,2014-07-21,615
171,C000171,63,Female,Business Owner,Low,Retail,NRI,Medium,2018-09-19,803
172,C000172,22,Male,Salaried,High,Premium,NRI,Low,2018-07-15,832
173,C000173,53,Male,Salaried,Mid,Retail,Savings,Medium,2014-01-08,609
174,C000174,41,Male,Retired,Mid,Corporate,Savings,Low,2021-06-23,667
175,C000175,68,Female,Salaried,High,Premium,Current,Low,2013-07-12,593
176,C000176,57,Male,Student,High,Premium,Savings,Low,2022-08-29,759
177,C000177,60,Female,Salaried,Mid,Premium,Savings,Medium,2014-03-26,585
178,C000178,51,Male,Business Owner,High,Retail,Current,Low,2014-09-19,568
179,C000179,28,Female,Business Owner,Mid,Retail,Savings,Medium,2020-01-15,640
180,C000180,43,Male,Self-Employed,Mid,Retail,Savings,Medium,2014-10-18,761
181,C000181,66,Male,Salaried,Mid,Premium,Savings,Medium,2021-11-19,771
182,C000182,31,Male,Salaried,Mid,Retail,Savings,Low,2020-08-19,766
183,C000183,29,Female,Salaried,Mid,Retail,Savings,Low,2017-09-26,772
184,C000184,48,Female,Salaried,Mid,SME,Salary,Low,2019-09-09,647
185,C000185,31,Male,Business Owner,Low,Retail,Savings,Medium,2013-09-18,568
186,C000186,35,Female,Retired,Mid,Corporate,Savings,Low,2017-04-26,846
187,C000187,67,Female,Retired,Low,Corporate,Savings,Medium,2017-04-13,575
188,C000188,32,Female,Student,Mid,Retail,Salary,High,2019-09-07,577
189,C000189,27,Female,Student,Mid,Retail,Savings,Low,2018-04-02,613
190,C000190,42,Male,Business Owner,Mid,Retail,Savings,Low,2018-12-08,772
191,C000191,54,Male,Salaried,Mid,Premium,NRI,Medium,2015-10-27,629
192,C000192,40,Female,Retired,High,Premium,Savings,Low,2023-11-22,600
193,C000193,60,Female,Business Owner,Mid,Corporate,Savings,Low,2019-03-17,651
194,C000194,45,Female,Self-Employed,Mid,SME,Savings,High,2022-08-27,725
195,C000195,39,Male,Salaried,Mid,Premium,Savings,Low,2023-07-28,559
196,C000196,56,Male,Self-Employed,Low,Retail,Savings,High,2013-02-17,786
197,C000197,64,Female,Self-Employed,Low,Retail,Current,Medium,2020-08-18,649
198,C000198,58,Female,Retired,Low,Corporate,Savings,Medium,2021-01-31,777
199,C000199,40,Female,Self-Employed,Mid,Retail,Current,Low,2014-04-15,613
200,C000200,45,Female,Salaried,Mid,Retail,Savings,Low,2020-08-24,568
201,C000201,55,Female,Homemaker,High,Premium,Savings,Medium,2022-12-04,690
202,C000202,43,Male,Salaried,Low,Retail,Savings,Low,2019-01-09,574
203,C000203,25,Male,Self-Employed,Low,SME,Salary,Low,2021-06-03,777
204,C000204,31,Female,Salaried,High,Premium,Savings,Low,2015-12-29,638
205,C000205,23,Female,Business Owner,Low,Retail,Current,Low,2021-08-15,641
206,C000206,29,Male,Retired,Mid,SME,Savings,Low,2020-03-10,591
207,C000207,54,Male,Salaried,Mid,Retail,Savings,Medium,2016-10-25,844
208,C000208,59,Female,Retired,Mid,Retail,Savings,Low,2014-04-02,630
209,C000209,64,Male,Salaried,Low,Retail,Savings,Low,2016-04-17,656
210,C000210,49,Male,Retired,Low,Retail,Savings,Medium,2017-11-16,660
211,C000211,31,Female,Student,Low,Retail,Savings,High,2014-10-10,826
212,C000212,66,Female,Student,Mid,Retail,Current,Low,2018-02-02,763
213,C000213,22,Female,Salaried,Mid,Retail,Savings,Low,2013-01-14,780
214,C000214,55,Male,Homemaker,Low,Retail,Current,Medium,2023-09-12,670
215,C000215,24,Female,Business Owner,Mid,Corporate,Savings,High,2021-02-05,683
216,C000216,30,Male,Salaried,High,Corporate,Savings,Medium,2022-10-28,757
217,C000217,26,Male,Student,Low,Retail,Current,Medium,2021-01-26,806
218,C000218,63,Female,Salaried,Mid,Retail,Savings,Low,2015-12-15,734
219,C000219,31,Female,Retired,Mid,Retail,Savings,Medium,2023-11-25,835
220,C000220,33,Female,Salaried,Low,Retail,Current,Low,2018-08-13,729
221,C000221,39,Female,Business Owner,Mid,Corporate,NRI,Medium,2021-07-18,597
222,C000222,42,Female,Self-Employed,Mid,Premium,Savings,Medium,2015-01-02,636
223,C000223,42,Male,Salaried,High,Retail,Savings,High,2018-09-11,568
224,C000224,22,Male,Salaried,High,Retail,NRI,Low,2023-03-28,595
225,C000225,24,Male,Salaried,Mid,Retail,Savings,Low,2014-03-12,605
226,C000226,26,Male,Self-Employed,Mid,Premium,Current,Medium,2022-10-06,778
227,C000227,46,Female,Salaried,Mid,Retail,Savings,Medium,2020-01-06,694
228,C000228,29,Male,Self-Employed,Mid,SME,Savings,Medium,2016-05-07,641
229,C000229,38,Female,Salaried,Mid,Corporate,Current,Low,2022-06-10,631
230,C000230,30,Female,Salaried,Low,Retail,Savings,Low,2020-03-02,774
231,C000231,53,Female,Business Owner,Mid,Premium,Savings,Medium,2018-09-11,628
232,C000232,27,Male,Salaried,Mid,SME,Savings,Low,2019-10-31,699
233,C000233,61,Female,Retired,Mid,Premium,Current,High,2015-03-26,832
234,C000234,42,Male,Retired,High,Retail,Current,Low,2014-09-19,709
235,C000235,28,Male,Business Owner,Low,Retail,Savings,Medium,2017-03-12,705
236,C000236,28,Female,Self-Employed,Mid,Corporate,Savings,Medium,2021-07-21,705
237,C000237,68,Male,Retired,Low,Premium,Current,Medium,2014-10-24,751
238,C000238,60,Male,Salaried,Mid,Premium,Current,Low,2019-01-19,666
239,C000239,48,Female,Salaried,Mid,Corporate,Current,Medium,2023-09-11,703
240,C000240,29,Male,Salaried,Mid,Corporate,Savings,Low,2021-09-25,668
241,C000241,30,Female,Student,Mid,SME,Current,Medium,2023-05-07,748
242,C000242,49,Female,Salaried,Mid,Retail,Current,Low,2018-12-13,812
243,C000243,36,Female,Self-Employed,Mid,Premium,Savings,Low,2023-04-21,733
244,C000244,23,Male,Homemaker,Mid,Premium,Savings,Low,2013-01-03,697
245,C000245,28,Male,Retired,Mid,Corporate,Savings,Low,2019-09-20,715
246,C000246,68,Female,Self-Employed,High,Premium,Current,High,2016-08-20,624
247,C000247,39,Male,Salaried,Low,Retail,Savings,Low,2018-06-25,785
248,C000248,43,Female,Student,Low,Corporate,Current,Medium,2013-03-21,821
249,C000249,31,Female,Self-Employed,Mid,Premium,Salary,High,2014-04-04,728
250,C000250,54,Female,Salaried,High,Retail,Current,Low,2023-06-03,832
251,C000251,28,Male,Salaried,Mid,Retail,Salary,Medium,2017-01-26,600
252,C000252,24,Male,Retired,Low,Retail,Salary,Low,2022-11-09,624
253,C000253,35,Female,Business Owner,Mid,Retail,Savings,Low,2022-04-30,693
254,C000254,65,Male,Student,Mid,Retail,Current,Low,2022-01-18,737
255,C000255,67,Male,Retired,Low,Retail,Savings,High,2016-06-13,672
256,C000256,57,Female,Self-Employed,Mid,Premium,NRI,Low,2015-09-08,800
257,C000257,34,Female,Self-Employed,High,Premium,Savings,Medium,2013-08-26,845
258,C000258,37,Female,Self-Employed,Mid,Premium,Salary,Medium,2015-09-14,679
259,C000259,37,Female,Salaried,Mid,Corporate,Current,High,2022-11-06,801
260,C000260,26,Male,Self-Employed,Mid,Retail,Current,Low,2019-05-13,729
261,C000261,46,Female,Student,Low,Retail,Savings,Medium,2023-08-15,659
262,C000262,59,Other,Business Owner,High,Corporate,Savings,Medium,2013-11-19,627
263,C000263,59,Male,Retired,Mid,Retail,Current,Medium,2013-12-17,551
264,C000264,59,Male,Self-Employed,Mid,SME,Savings,High,2021-03-17,825
265,C000265,60,Female,Business Owner,Mid,Corporate,NRI,Medium,2018-06-14,839
266,C000266,69,Female,Business Owner,Mid,Premium,Savings,Low,2022-02-25,846
267,C000267,62,Female,Self-Employed,Mid,SME,Current,Low,2013-10-11,718
268,C000268,47,Female,Business Owner,Low,Retail,Savings,Low,2023-12-20,789
269,C000269,34,Male,Salaried,High,Retail,Current,Low,2021-07-13,572
270,C000270,65,Male,Self-Employed,High,Premium,Current,Low,2018-12-22,843
271,C000271,47,Female,Salaried,Mid,Retail,Savings,Low,2021-08-03,721
272,C000272,22,Female,Salaried,High,SME,Savings,Low,2014-05-31,835
273,C000273,29,Female,Self-Employed,Low,Retail,Savings,High,2014-06-10,742
274,C000274,25,Female,Business Owner,Mid,Premium,Current,Low,2020-05-26,718
275,C000275,42,Male,Homemaker,Mid,Premium,Savings,High,2018-05-01,667
276,C000276,43,Male,Business Owner,Mid,Premium,Current,Low,2023-08-15,555
277,C000277,58,Female,Business Owner,Mid,Retail,Savings,Medium,2019-03-02,681
278,C000278,24,Female,Self-Employed,Mid,Retail,Savings,Medium,2014-11-08,642
279,C000279,40,Female,Business Owner,Low,Corporate,Savings,Low,2015-12-22,800
280,C000280,22,Female,Salaried,Mid,Retail,Savings,Low,2018-12-02,559
281,C000281,50,Female,Salaried,Low,Corporate,Savings,Low,2022-10-14,600
282,C000282,44,Male,Salaried,Mid,Premium,Salary,Low,2019-10-21,843
283,C000283,54,Male,Self-Employed,Low,Corporate,NRI,High,2017-09-30,678
284,C000284,62,Male,Salaried,Low,Premium,Savings,Medium,2023-10-26,798
285,C000285,44,Female,Salaried,Mid,Retail,Current,Low,2015-05-18,651
286,C000286,26,Male,Salaried,Mid,Premium,NRI,Low,2023-06-02,632
287,C000287,28,Male,Homemaker,High,Corporate,Savings,Low,2019-01-18,740
288,C000288,27,Female,Salaried,Mid,Retail,Savings,Low,2021-06-21,692
289,C000289,43,Male,Self-Employed,Mid,SME,Savings,Medium,2021-03-09,786
290,C000290,34,Female,Salaried,High,Retail,Savings,Low,2020-09-26,836
291,C000291,33,Male,Business Owner,Mid,Retail,Salary,Medium,2015-04-04,826
292,C000292,25,Male,Salaried,Low,Retail,Current,Low,2020-12-30,840
293,C000293,29,Female,Salaried,Mid,SME,Savings,Low,2016-06-30,718
294,C000294,58,Male,Self-Employed,High,Retail,Savings,Medium,2017-06-23,693
295,C000295,52,Male,Salaried,Mid,Corporate,Current,Low,2020-07-14,733
296,C000296,58,Female,Salaried,Low,Corporate,NRI,High,2020-04-15,594
297,C000297,66,Female,Salaried,Low,Retail,Current,High,2017-03-10,792
298,C000298,47,Male,Salaried,Low,Retail,Current,Low,2017-11-30,817
299,C000299,64,Female,Salaried,Mid,Premium,Savings,Low,2023-02-02,802
300,C000300,29,Male,Salaried,Mid,Retail,NRI,Medium,2018-10-21,838
301,C000301,61,Male,Student,Low,Corporate,Current,High,2018-01-24,761
302,C000302,54,Female,Self-Employed,High,Retail,Savings,Medium,2014-05-11,726
303,C000303,66,Female,Self-Employed,Mid,Retail,Current,Low,2015-10-13,570
304,C000304,50,Female,Salaried,Mid,Corporate,Savings,High,2015-07-10,601
305,C000305,26,Female,Retired,High,Retail,Savings,Low,2013-09-20,782
306,C000306,49,Female,Salaried,Low,Retail,Savings,Medium,2016-10-16,672
307,C000307,61,Male,Salaried,Mid,Retail,Savings,High,2013-03-28,649
308,C000308,38,Male,Business Owner,Mid,Retail,Savings,Low,2019-08-07,763
309,C000309,44,Female,Salaried,High,Premium,Savings,High,2019-03-19,684
310,C000310,66,Male,Salaried,Mid,Corporate,Savings,Low,2015-08-01,767
311,C000311,30,Male,Self-Employed,Low,Retail,Savings,High,2019-08-08,637
312,C000312,23,Male,Retired,High,Premium,Savings,Low,2015-06-22,829
313,C000313,53,Male,Self-Employed,Low,Premium,Savings,High,2013-01-30,589
314,C000314,52,Female,Business Owner,High,Retail,Current,Low,2013-10-18,789
315,C000315,28,Female,Homemaker,High,Retail,Savings,Medium,2020-12-09,685
316,C000316,51,Female,Salaried,Low,SME,Savings,Medium,2020-01-29,731
317,C000317,24,Male,Salaried,Mid,Premium,NRI,Low,2013-08-30,814
318,C000318,30,Male,Salaried,Low,Premium,Current,Low,2015-07-27,808
319,C000319,31,Male,Self-Employed,Mid,Premium,NRI,Medium,2013-10-04,731
320,C000320,67,Male,Self-Employed,Mid,Retail,Savings,Low,2023-02-26,570
321,C000321,68,Female,Retired,Mid,Premium,Savings,Medium,2013-05-09,745
322,C000322,47,Female,Business Owner,High,Premium,Current,Low,2022-08-23,761
323,C000323,22,Female,Business Owner,Mid,Premium,Savings,High,2016-09-15,565
324,C000324,51,Male,Salaried,Mid,Retail,Savings,Low,2013-10-18,751
325,C000325,59,Female,Student,High,Retail,Savings,Low,2018-10-07,767
326,C000326,36,Female,Homemaker,High,Retail,NRI,Low,2015-09-02,642
327,C000327,46,Female,Student,Low,SME,Savings,Low,2016-02-15,682
328,C000328,27,Female,Salaried,High,Retail,Salary,Low,2020-07-03,688
329,C000329,39,Male,Business Owner,Low,Retail,NRI,Low,2018-06-12,706
330,C000330,22,Male,Salaried,High,Retail,Savings,High,2015-05-28,619
331,C000331,24,Male,Salaried,Low,Retail,Current,Medium,2019-01-18,564
332,C000332,38,Female,Salaried,Low,Premium,Current,Medium,2014-06-26,784
333,C000333,69,Male,Business Owner,Mid,Premium,NRI,Low,2021-02-10,761
334,C000334,29,Male,Business Owner,Mid,Premium,Savings,Medium,2023-06-29,839
335,C000335,61,Male,Salaried,Mid,Retail,Current,Low,2022-11-24,609
336,C000336,38,Male,Salaried,Low,Premium,Savings,Medium,2019-05-28,801
337,C000337,46,Female,Self-Employed,Mid,Retail,Salary,Low,2019-06-19,551
338,C000338,62,Female,Salaried,High,Retail,Savings,Low,2018-04-21,785
339,C000339,33,Male,Salaried,Mid,Retail,Savings,Low,2015-09-23,568
340,C000340,50,Male,Self-Employed,Low,Retail,Current,High,2021-10-19,598
341,C000341,46,Male,Student,Mid,Retail,NRI,Low,2018-04-22,627
342,C000342,57,Male,Salaried,Low,Premium,Current,Medium,2022-01-21,577
343,C000343,46,Male,Salaried,High,Premium,Savings,Low,2017-07-26,597
344,C000344,50,Male,Salaried,High,Corporate,Savings,Medium,2015-02-19,645
345,C000345,32,Male,Retired,Mid,Retail,Salary,High,2014-01-22,714
346,C000346,25,Female,Business Owner,Mid,Retail,Current,Low,2014-02-02,725
347,C000347,35,Female,Business Owner,Mid,Retail,NRI,Low,2020-05-23,622
348,C000348,67,Male,Salaried,Mid,SME,Savings,High,2017-11-01,578
349,C000349,59,Male,Self-Employed,High,Premium,Savings,Medium,2016-12-22,706
