Performance_ID,Date_Key,Branch_Key,Customer_Key,Employee_Key,Product_Key,Transaction_Count,Transaction_Amount,Customer_Attrition_Flag,Employee_Customer_Ratio,Avg_Service_Time,Customer_Satisfaction_Score,Revenue_Generated,Operating_Cost
21,1760,9,1844,52,13,290,1726312.35,0,0.4605,9,3.9,17793.32,8108.94
22,730,8,217,418,2,114,356260.63,0,0.1217,57.3,3,9251.4,5599.37
23,1523,5,1605,316,10,50,4574298.34,0,0.2238,25.4,4.4,37306.08,20944.1
24,1499,5,1506,57,5,238,3411414.36,0,0.2214,34.4,2.7,78682.78,30437.82
25,749,6,244,289,15,347,4957204.34,1,0.2342,45.5,3.7,196953.29,127499.86
26,716,16,103,149,10,284,3473024.69,0,0.0588,13,4.5,38813.95,25603.94
27,339,1,517,408,9,62,621936.28,0,0.3674,2.6,4.9,11116.27,4441.89
28,531,9,1835,20,5,349,2166290.09,0,0.3239,44.8,3.6,117051.93,90302.5
29,692,7,264,369,12,127,215272.77,0,0.4373,47.9,3.2,4698.71,3175.35
30,162,11,241,324,4,221,1708129.95,0,0.0593,40.3,3.2,58171.09,34041.77
31,1821,15,1870,101,8,202,3926681.04,0,0.2793,38.1,3.1,48086.18,29179.38
32,1085,5,861,357,6,300,2778587.97,0,0.124,54.3,3.1,110317.05,58584.87
33,1109,19,734,188,2,160,2295246.1,0,0.3491,53.2,2.4,77220.04,55915.13
34,1571,6,1855,430,8,8,4239366.61,1,0.3982,7.5,5,172296.86,106279.51
35,490,14,1253,33,12,438,886342.55,0,0.2546,13.7,5,22594.18,9652.58
36,5,20,1476,31,5,401,2693579.2,0,0.126,39.3,3.5,67456.12,45002.06
37,76,14,931,162,7,396,3237265.35,0,0.317,6.7,5,139625.37,83206.5
38,1277,11,455,278,4,125,4628903.08,0,0.096,33.7,3.5,129030.48,78306.28
39,7,4,986,362,9,90,819130.97,0,0.2059,10.1,4.6,41610.54,27469.84
40,681,10,544,286,2,244,3533728.81,0,0.3193,56.8,2.1,143234.38,85906.1
41,1666,2,865,5,12,195,230061.55,0,0.4735,24.7,3.8,8774.25,3076.56
42,473,4,374,169,10,106,2836744.89,0,0.3421,15.5,4.2,62539.31,25421.74
43,1162,20,1048,173,9,459,3225297.68,0,0.3281,45.8,2.8,71208.14,45030.51
44,1382,10,1330,215,4,206,4199774.5,0,0.3705,13.9,4.4,175836.29,93566.08
45,812,1,374,317,6,71,1619836.65,0,0.1098,51.6,2.8,53904.79,26845.31
46,838,14,1211,117,5,410,3483770.35,0,0.3757,49.9,3,131882.41,49494.49
47,603,18,961,255,3,357,464383.72,0,0.1441,16.8,4.8,20149.41,14731.86
48,1187,12,640,269,7,417,1113550.12,0,0.3792,21.3,4.3,34508.43,12310.23
49,318,19,112,252,4,428,3867690.17,0,0.4495,4,4.6,92529.59,47827.11
50,1482,12,493,393,1,496,4463371.88,0,0.2717,19.3,4.2,168902.9,74613.43
51,1277,5,294,206,14,32,82228.57,1,0.0349,11.5,4.9,3008.65,1178.3
52,1225,4,422,209,14,166,832971.16,0,0.3119,4.1,4.2,6829.39,4119.24
53,1556,13,149,163,8,212,1051599.74,0,0.192,57.2,3.2,35773.3,21101.21
54,1765,18,151,274,3,10,2597422.52,0,0.2887,56.6,2.1,124670.2,97274.79
55,1699,12,1198,383,6,335,771737.38,0,0.2264,38.2,2.2,30489.34,12755.57
56,1189,16,1221,140,12,463,4880343.16,0,0.341,28.9,4.5,48254.58,34721.69
57,232,6,1279,375,2,198,1939922.71,0,0.1783,29.2,3.2,109269.41,76302.58
58,328,7,1438,169,9,247,714945.48,0,0.2072,38.7,3.5,35009.21,19813.21
59,238,9,168,144,4,217,3871393.94,0,0.0478,16.3,4,78653.27,29833.61
60,1144,10,1106,222,7,129,2809495.47,0,0.0966,41.9,3.1,99079.82,39589.53
61,950,5,70,269,15,198,4570598,0,0.2094,3.5,5,63838.3,48215.58
62,895,4,1861,380,9,333,4678047.51,0,0.0311,39.8,3.9,120931.36,68526.5
63,619,11,426,402,13,75,4279577.35,0,0.0364,32.1,3.9,43544.91,20231.47
64,250,19,1426,76,11,472,2822138.58,0,0.3267,42.3,3.7,105832.75,59550.57
65,1360,7,1979,118,3,468,1113781.1,0,0.2399,37.5,3.8,13584.2,9376.75
66,1308,13,525,98,13,90,2143482.24,0,0.0305,16.8,4.9,117223.21,84313.27
67,198,13,1655,435,3,281,2413253.34,0,0.1488,33.2,3.9,69116.04,34297.75
68,416,18,212,33,3,52,4877645.51,0,0.3283,40.3,3.7,257760.68,100158.87
69,732,9,102,454,14,308,1263802.74,0,0.1235,2.9,4.8,42284.3,26906.74
70,1419,13,1813,338,15,12,2174198.57,0,0.3993,58.1,2.1,37067.32,21418.37
71,938,13,1732,67,5,46,2812157.57,0,0.1615,23.8,4,60663.56,23277.14
72,1175,5,1613,310,10,137,1956288.38,0,0.4727,17.8,4.2,71977.01,51099.86
73,1822,12,1362,6,6,301,603983.31,0,0.2743,43.3,3.1,8382.57,5791.06
74,1289,1,333,292,3,292,4452318,0,0.1126,47.7,2.8,77173.81,53576.28
75,1244,18,205,241,10,137,4006260.43,1,0.0837,26.2,4.4,224150.33,108386.56
76,1240,17,1511,55,9,97,1283221.51,0,0.0979,37.1,3.5,22404.99,11957.59
77,1339,10,229,383,1,424,2237935.36,0,0.3605,17.3,4.3,81599.13,40714.28
78,1692,9,1213,434,7,162,3676556.37,0,0.1035,42.7,3,124298.89,83912.65
79,216,20,1123,470,11,88,4867879.34,0,0.4714,30.9,3.9,39175.17,26979.03
80,1359,8,1958,71,9,53,838392.03,0,0.1775,10.1,4.2,34953.15,16458.71
81,1383,15,1960,94,5,109,3190293.88,0,0.0601,49.6,2.6,138473.93,78670.72
82,1650,13,1435,450,3,45,4087938.9,0,0.1059,54.2,3.1,72705.45,28173.19
83,1185,17,954,480,13,382,130491.81,0,0.1897,22,2.6,4201.95,3179.84
84,815,9,1754,143,15,353,4055122.24,1,0.0877,23.5,3.3,226237.55,164177.61
85,610,11,460,22,10,161,3949719.21,0,0.4283,46.8,3.2,235683.1,162138.39
86,511,4,1218,49,4,285,4617488.36,0,0.4802,51.7,2.6,251034.3,178381.78
87,918,7,555,422,8,422,423033.2,0,0.386,32.4,3.1,4964.32,3017
88,157,20,890,136,12,304,622311.83,0,0.3194,52.2,3.4,35872.26,27410.66
89,162,3,636,392,14,497,2593898.7,0,0.4055,3.1,4.8,146192.36,76085.12
90,42,10,1044,231,15,461,4358254.22,0,0.1026,11.6,4.2,108239.75,69112.42
91,1204,3,931,100,3,82,4372678.34,0,0.2073,52.1,2.4,124291.56,50453.95
92,303,1,311,468,15,315,3500618.71,0,0.1301,41,2.3,100791.24,80281.92
93,1354,14,842,293,5,318,2244261.37,0,0.248,39.2,3.7,110883.64,54444.51
94,1587,13,1864,200,12,255,1156439.59,0,0.1126,40,4.4,67256.72,53180.76
95,1014,5,680,334,3,291,2373927.1,0,0.4137,8.4,4.5,54718.68,35969.57
96,764,8,1582,468,15,431,1086104.29,0,0.4063,52.1,3,64409.63,36042.54
97,1453,12,996,121,14,315,3865325.44,1,0.203,7.7,4.4,229956.94,136784.78
98,1374,6,1759,227,15,187,2108113.98,0,0.3698,13.9,4.5,70758.6,34009.43
99,120,2,79,409,12,386,2697271.16,0,0.2299,44.8,2.7,136297.16,81380.76
100,1099,4,1194,466,15,89,3404986.26,0,0.1639,15.9,5,100880.93,48615.17
101,674,5,1938,438,6,444,2632603.44,0,0.1595,48.6,3.1,121662.53,89929.54
102,661,11,246,239,12,390,3776783.78,0,0.2604,44.1,2.5,132395.18,84899.35
103,123,13,783,277,1,25,3930525.85,0,0.0358,45.1,4.1,178455.47,82357.71
104,653,8,472,101,7,53,1214429.36,0,0.3641,26.5,3.3,15601.56,6446.28
105,1206,5,1123,383,15,468,1491402.28,0,0.213,34.4,4.6,22664.88,8469.47
106,921,6,322,495,15,380,297546.65,0,0.0957,27.9,4.2,4891.62,2299.54
107,1014,15,141,187,11,78,446886.2,1,0.3284,44.9,2.7,24696.72,16509.98
108,789,16,1133,159,14,114,4147551.02,0,0.3844,9,4.7,178717.44,87623.65
109,257,11,313,6,6,388,1070784.39,0,0.0851,28.4,3.5,36355.34,23144.81
110,757,7,1673,170,12,456,4173482.97,0,0.0785,47.9,2.8,50283.54,37858.9
111,598,6,1145,375,6,482,4929405.27,0,0.2125,14.8,4.8,181188.26,142701.56
112,1607,12,99,180,3,348,1214815.82,0,0.3351,27.3,3.5,20800.74,14344.6
113,1293,4,1602,431,1,312,2302406.16,0,0.303,18.9,4.6,47273.86,30714.15
114,1517,14,494,212,11,258,2685769.99,0,0.4882,27.9,3.1,156742.6,104651.24
115,1204,11,1168,412,15,145,4714149.61,0,0.2362,4.9,5,215785.4,89427.22
116,791,12,110,489,1,196,893972.18,0,0.1942,29.6,3.7,12089.39,8194.91
117,1173,2,484,164,7,304,4180065.53,0,0.3871,25.6,3.7,204735.85,112727.95
118,1542,11,130,128,4,482,4788953.62,0,0.4795,56.4,2.6,191649.01,85110.66
119,1172,13,1424,296,14,411,2772528.44,0,0.4495,16.7,3.6,66498.39,25196.82
120,680,11,840,218,6,467,762813.11,0,0.2236,17,3.9,22701.54,12510.31
121,1033,9,506,141,4,348,1669688.94,0,0.3268,10.7,3.6,40241.39,17433.93
122,1202,16,769,433,8,102,4795506.37,0,0.0972,16.5,3.8,192784.58,121757.78
123,796,5,210,132,12,290,841947.72,0,0.3658,56.7,2.8,24088.85,10641.86
124,1419,12,1782,354,9,352,2438676.14,0,0.1947,38.4,4,66930.43,34150.36
125,1652,3,361,251,2,169,950107.89,0,0.1346,2.9,4.9,51333.57,35724.39
126,608,16,154,378,1,95,4520722.21,0,0.0936,4,4.3,61429.78,43037.2
127,331,19,1964,101,1,262,2952589.22,0,0.1513,3.6,4.4,100740.77,38995.26
128,56,17,1669,320,15,262,4616812.97,0,0.2699,16.7,4.5,116752.73,82708.66
129,1231,11,533,98,14,28,4730904.53,0,0.4509,5.3,5,42472.34,29774.14
130,105,19,1571,336,13,136,2445354.14,0,0.1526,5.9,4.9,49814.11,26431.47
131,547,18,1384,279,12,129,4685575.78,0,0.0564,27.4,4.3,156381.77,92972.65
132,1745,9,310,186,12,336,4540.32,0,0.3966,2.4,4.8,187.38,145.85
133,793,13,474,343,7,490,961338.05,0,0.397,3,4.6,48149.89,31607.52
134,1379,6,736,143,13,467,3670258.04,0,0.0615,38,2.9,188728.31,107082.17
135,1683,3,636,345,14,274,2632914.58,0,0.1159,42.5,3.6,115101.69,87780.35
136,489,12,1776,349,2,222,4954768.85,0,0.1052,58,2.9,168639.33,98454.85
137,1823,9,1970,356,3,336,3921630.54,1,0.2469,30.1,3.9,127106.58,99392.57
138,1617,9,876,383,12,481,3320961.82,0,0.1472,35,3.6,178514.98,77584.47
139,1527,15,300,79,4,123,4560931.19,0,0.3813,36.4,4,249228.29,94291.44
140,1074,1,341,357,9,92,1686667.83,0,0.3203,45.4,3.4,28887.49,21957.19
141,1111,18,1028,355,10,431,838726.74,0,0.3486,26.1,3.7,25972.68,17390.4
142,1727,15,635,430,2,464,2735852.22,0,0.2077,59.1,2.4,135805.08,83555.59
143,303,8,554,39,14,11,1193131.72,0,0.2645,30.9,3.5,49662.45,37376.19
144,1025,11,1193,303,10,6,1162696.48,0,0.3491,9.4,4.7,30241.24,13348.26
145,1405,17,420,37,2,398,1532197.64,0,0.2779,45.4,2.9,46268.32,16376.47
146,650,14,1304,425,13,368,3376018.53,0,0.0655,32.1,2.9,195845.36,95331.14
147,648,19,737,348,1,228,118927.04,0,0.2003,39.7,3.2,5737.54,2736.57
148,1386,5,389,429,15,22,4250092.27,1,0.4865,31.8,3.3,168879.88,97253.57
149,381,2,1209,286,8,488,3060621.74,0,0.2657,39.7,3.7,181241.53,98291.3
150,1690,15,1347,455,14,215,1522967.19,0,0.2229,28.3,3.2,74021.73,27245.72
151,162,19,11,324,15,415,566409.58,0,0.448,24.7,3.6,10920.57,7214.18
152,19,16,1709,7,13,284,3950332.79,0,0.342,13,4.9,82354.91,45833.56
153,974,13,608,353,8,403,2182731.55,0,0.2304,21.2,3.8,104771.67,75181.88
154,243,7,278,303,5,115,2177094.42,0,0.3096,4.2,5,25372.66,19840
155,129,17,1163,303,3,214,2351683.03,0,0.1883,30.8,3.8,138913.45,50547.09
156,1200,19,1018,210,1,385,2070333.58,0,0.4076,27,3.8,91916.4,69108.19
157,409,7,1702,79,2,451,2566961.56,0,0.3669,8.7,4.4,40568.49,20528.29
158,792,12,1723,382,14,456,3153631.05,0,0.1322,34.6,3.7,181814.64,86206.59
159,943,13,1110,355,9,141,2155631.4,0,0.1746,53.8,2.1,123210.22,90485.95
160,1108,13,1924,357,8,179,4864041.62,0,0.0313,31.6,3.6,43521.84,23879.16
161,1400,14,231,444,10,1,1988586.42,0,0.4018,4.8,5,51393.88,35004.28
162,222,15,1475,133,11,29,1072983.52,1,0.0724,26.1,4,13862.36,10009.43
163,1349,2,138,176,4,397,4900548.93,0,0.299,54.9,2.3,74851.71,41955.45
164,1475,6,997,87,13,298,1481254.41,0,0.4278,57.2,3.1,69777.12,27314.3
165,1440,9,531,249,3,285,3104422.75,0,0.4841,51.1,2.3,59056.82,23353.09
166,1681,15,1362,458,5,350,4143170.49,0,0.18,27,3.3,87670.33,68561.1
167,445,20,1180,217,8,400,20769.79,0,0.1163,24,4.4,240.93,189.31
168,618,16,607,406,14,316,1414883.7,0,0.494,18.6,3.4,52717.98,23929.01
169,1349,2,1041,351,10,105,2659560.49,0,0.1175,10.3,5,80998.69,32652.12
170,523,3,792,407,6,162,2279953.77,0,0.1006,54.2,2.7,117896.34,92982.1
171,166,20,1921,92,10,40,364914.05,1,0.4647,41.4,3.4,20545.25,13856.16
172,708,8,1285,429,15,451,2235834.78,0,0.47,49.7,3.7,33352.27,23193.38
173,743,8,1184,207,11,349,530642.53,0,0.2552,7.8,4.7,25955.09,12731.68
174,1683,7,1333,232,4,222,1250098.71,0,0.3309,12,4.3,12043.53,4255.65
175,1262,11,81,308,8,439,3744191.59,0,0.2264,4,5,175631.89,88507.79
176,1009,13,697,199,4,442,893679.89,0,0.4658,27.9,3.8,20559.25,8848.92
177,913,8,213,430,5,52,3326736.2,0,0.4226,27.2,4.2,154250.1,111156.97
178,1037,9,1451,38,2,64,4864678.09,0,0.2716,50.3,3,255693.58,132133.57
179,1755,16,1366,424,10,482,1235668.91,0,0.2397,3.7,4.1,59193.29,43926.89
180,1281,5,1383,399,4,4,1298476.63,0,0.3529,32,3.8,24028.96,17245.66
181,1538,14,1703,369,15,432,4765509.08,0,0.3424,45,3.7,113062.52,74500.33
182,1234,1,1954,453,10,456,3326029.97,0,0.0682,39,3.8,90452.25,55238.31
183,1508,19,206,396,14,367,3850749.48,0,0.1611,57.9,2.6,86184,62520.6
184,365,17,1360,77,10,496,3957776.18,0,0.2361,53,2,124949.51,94252.48
185,225,14,1285,67,3,18,3649560.45,0,0.2936,12,4.7,131629.6,100854.54
186,996,13,1810,185,12,342,4884011.18,0,0.12,24.8,4.2,73270.8,49557.83
187,194,8,900,377,15,10,1374452.23,0,0.1804,45.3,3.4,12315.35,7916.02
188,1220,3,748,275,12,371,2592328.8,0,0.267,26.4,4.4,74497.31,37733.16
189,1424,1,1267,90,8,270,3320728.06,0,0.4534,26.5,3.2,180888.68,112551.86
190,1796,19,1756,286,8,435,3536598.41,0,0.2124,14.3,4,179076.6,129876.48
191,57,15,877,348,14,374,961582.6,0,0.1684,11.6,4.2,53238.12,31432.49
192,1649,8,1883,207,7,366,4377661.1,0,0.4309,40.1,3.9,168055.72,99822.79
193,213,9,582,18,6,351,4073909.65,0,0.1389,59.3,3,185909.19,128802.96
194,1303,13,395,244,9,99,1321578.43,0,0.314,55.8,3,55307.2,34320.1
195,1780,12,1967,319,14,302,2720287.21,0,0.2244,52.3,2.9,89628.76,47123.69
196,1404,9,1749,7,4,194,1474249.97,0,0.4563,58.9,2.6,29779.15,16114.42
197,117,20,337,188,4,317,1830071.83,0,0.3528,12.5,4.7,23333.41,11661.43
198,1475,11,799,462,6,386,2668312.34,0,0.4472,27.1,4,127103.54,58434.93
199,599,5,1762,88,1,419,2697876.6,0,0.3404,10.1,5,142938.31,67206.76
200,410,19,781,116,2,34,2660762.15,0,0.2942,29.6,3.6,62118.41,29374.42
201,1391,18,279,499,2,349,2721751.25,0,0.2259,7,4.5,129226.4,83722.42
202,1799,11,249,63,13,326,3181017.3,0,0.3178,41.3,3.9,167866.07,130382.63
203,812,11,833,441,10,452,79518.76,0,0.3999,27.8,3.3,4532.21,3300.62
204,929,6,1732,344,4,65,699972.18,0,0.2327,52.6,2.9,11732.16,7900.75
205,1137,1,1054,75,5,163,2351915.85,0,0.3301,15.4,4.2,54033.36,32571.77
206,1188,9,1951,379,13,176,3542244.1,0,0.2384,24.9,3.8,106386.82,72247.9
207,4,7,1839,295,14,47,2546827.03,0,0.0752,2.1,5,34920.98,13754.68
208,1654,6,912,171,14,218,3145083.07,0,0.2939,29,3,59770.99,29940.32
209,23,10,939,232,2,221,4853501.21,0,0.0606,6.8,4.3,51405.42,29207.68
210,921,5,1155,440,8,11,3650598.96,0,0.3107,56.1,2.5,167169.88,81121.97
211,745,1,524,394,5,190,4699393.42,0,0.4245,57.2,1.7,175400.37,113000.21
212,602,15,460,248,8,371,96008.46,0,0.1032,34.1,2.9,3728.82,1604.57
213,988,5,395,363,9,388,2236345.68,0,0.3102,27.4,3.9,106925.5,56208.97
214,1791,20,1552,225,15,86,1773223.7,0,0.0577,29.6,3,21819.18,16968.12
215,1116,6,413,276,13,33,3527915.43,0,0.1574,22.1,4.2,48187.93,29056.8
216,469,5,117,362,11,418,4647252.72,0,0.0892,27.3,3.9,43328.33,29058.36
217,970,17,1173,192,9,95,202370.45,0,0.0417,31.1,3.5,3147.38,1605.1
218,1179,18,109,167,4,330,287467.1,0,0.4274,57.8,2.7,8919.18,6394.24
219,627,4,236,470,10,419,3364505,0,0.2227,25.2,4.1,60930.1,30658.5
220,207,2,826,99,2,181,1730926.53,0,0.1011,45.6,3.1,81744.37,35810.09
221,1014,8,1451,371,14,284,1015901.27,0,0.3286,44.5,3.5,37003.31,19884.44
222,81,5,1010,412,11,23,4773617.27,0,0.4536,57.6,2.5,258792.42,116968.38
223,615,4,1541,228,2,49,71180.55,0,0.2657,4.9,4.4,2616.51,1714.83
224,483,14,1204,414,12,332,1370624.54,0,0.4198,7,5,68262.84,26871.27
225,592,4,909,314,5,221,1659145.91,0,0.4261,35.4,3.6,88834.41,59628.92
226,1431,8,1873,326,10,2,3914126.41,0,0.3827,29.7,4,177969.78,134691.73
227,1127,3,396,62,4,77,2809143.62,0,0.1593,37.9,3.3,124881.1,93330.6
228,1264,14,977,129,6,356,1642539.07,0,0.2499,32.9,3.3,32895.61,22449.35
229,1289,18,1,250,9,111,849597.44,0,0.0983,46.4,3.5,27272.61,13768.82
230,33,12,8,452,7,154,1090185.67,0,0.4625,53.6,2.4,18530.78,14636.29
231,35,15,144,409,12,145,194332.29,0,0.3394,32.9,3.3,3126.13,2200.22
232,1273,20,1679,423,14,299,4184485.19,0,0.0326,7.2,4.6,79501.62,61671.01
233,1000,20,275,139,11,97,586809.99,0,0.4059,8.3,4.2,12671.29,7706.05
234,1074,9,1689,230,4,315,4115409.65,0,0.0368,15,4.4,197584.3,142706.64
235,280,2,287,59,7,377,696742.36,0,0.3178,51.9,2.4,39241.67,17927.57
236,1778,1,490,165,2,214,4529633.56,0,0.2368,35.6,2.7,55786.84,28763.71
237,152,15,1666,204,5,322,3392875.47,0,0.128,23.8,4.7,110181.95,71103.66
238,1683,15,633,413,12,74,1760811.97,0,0.3845,23,3.3,94770.71,35430.96
239,1575,8,1595,98,11,295,1964076.85,0,0.4994,5.6,4.4,56905.38,23439.89
240,701,3,729,338,9,26,1423515.89,1,0.3605,18.1,4.2,77253.95,60643.47
241,1561,2,31,246,11,222,1057238.91,0,0.4096,22.9,3.7,32647.76,16837.81
242,1780,4,964,137,14,406,4555429.93,0,0.459,7,5,192757.74,91900.57
243,735,18,1476,46,9,203,922919.33,0,0.2374,26.1,3.7,46580.37,27083.74
244,1019,12,244,204,4,278,880566.49,0,0.33,24.6,4,44195.14,17979.89
245,1254,18,140,393,8,344,1801959.3,0,0.28,57.2,2.3,60991.14,27561.98
246,665,10,401,193,5,442,4921609.02,0,0.1787,29.5,3.4,68320.63,27458.46
247,923,8,725,327,3,29,2325121.21,1,0.0602,40.2,3.1,82177.99,31441.05
248,1312,18,1565,359,13,115,1777379.61,0,0.4331,53,3,53057.84,27792.37
249,1419,17,982,42,6,266,4992754.02,0,0.078,53.3,2.1,204830.82,116519.18
250,453,19,164,162,4,482,3700468.96,0,0.2944,37.9,3.2,106729.53,38270.44
251,620,6,104,224,13,110,4723181.93,0,0.0448,32.2,3.8,281684.09,118358.73
252,1057,14,2000,254,13,153,1245366.2,0,0.2818,20.6,4.1,34619.03,23104.82
253,1387,5,63,284,3,405,3771227.56,0,0.0567,28.2,4.2,36620.4,21887.99
254,1135,8,15,218,4,445,4453339.61,0,0.3627,6.3,4.4,224174.77,103695.11
255,1145,8,1822,100,13,118,2647282.47,0,0.3089,11.5,4.1,154838.73,78901.76
256,16,18,1518,61,1,123,2119990.33,0,0.3676,23.7,4.1,72348.37,30379.61
257,739,9,179,40,10,423,1480490.91,0,0.296,3.3,4.3,31748.65,24137.47
258,1547,14,1547,182,8,205,2836811.57,0,0.3803,43.5,3.7,39176.59,29573.13
259,715,14,441,59,9,322,961508.04,0,0.2022,36.1,3.3,55129.33,32672.93
260,714,20,525,462,6,251,2159799.5,0,0.184,51.6,1.8,52583.06,38633.36
261,98,14,727,429,5,134,3413025.98,0,0.2622,11.7,4.6,67816.61,38293.59
262,116,17,1512,223,12,252,3262127.88,0,0.2672,56.1,3.1,179257.55,128278.26
263,965,2,311,208,9,1,3499767.91,0,0.1893,54.3,3.3,119066.05,72954.5
264,1495,14,738,423,4,284,2933163.75,0,0.2629,33.2,4,133696.42,66435.1
265,1463,12,1599,170,14,214,14149.16,0,0.1297,23.3,4.3,192.64,101.8
266,1305,16,1791,139,1,395,134650.42,0,0.3362,52.2,1.7,2983.53,1133.04
267,349,6,130,203,12,423,2901720.62,0,0.4867,56.6,2.2,27215.74,12125.72
268,232,18,968,254,13,124,4829843.75,1,0.3142,11.4,4.5,195321.64,103569.3
269,1135,7,1490,166,11,197,973052.93,0,0.2532,35.5,3.6,52967.63,29416.05
270,1376,2,1976,57,7,402,3587196.72,0,0.4553,31.2,3.4,195944.89,72857.53
271,1036,13,1526,123,1,20,2166596.18,0,0.3396,33.1,4.4,117196.53,66753.38
272,984,8,1287,396,14,332,696341.04,0,0.1697,6,4.6,19415.98,14282.07
273,1512,12,1195,426,15,469,167359.15,0,0.3217,24.1,4.5,4555.31,1909.91
274,1557,1,927,447,12,347,3567162.37,0,0.3805,10.6,5,213237.22,99695.69
275,639,9,1981,137,9,314,720537.36,0,0.3924,52.6,2.3,33243.6,23706.87
276,285,8,1430,406,4,434,1492849.2,0,0.0337,28.3,4.4,22356.3,15637.64
277,1657,9,1726,422,12,169,2007489.6,0,0.3896,50.6,2.9,28327.33,14088.33
278,636,5,1820,457,3,98,3529659.55,0,0.4056,14.6,4.1,156495.67,106098.83
279,545,13,1049,250,4,146,1938720.5,0,0.1123,52.1,3,110471.18,65906.34
280,392,14,1012,57,1,162,1932065.18,1,0.43,10.1,4.4,98559.24,51319.71
281,1194,4,449,67,6,66,3971374.83,0,0.3647,10.9,4.9,153781.65,55513.3
282,77,17,160,231,7,245,35898.72,0,0.3212,59.3,2.8,575.37,317.26
283,297,9,1241,483,7,462,3769531.02,0,0.3915,3.7,5,49921.74,26963.22
284,330,20,688,244,5,359,2608876.33,0,0.1489,3.8,5,143232.92,54749.55
285,1087,15,848,286,14,321,2708866.05,0,0.1025,8.1,4.9,144001.53,58650.93
286,270,20,1757,121,10,126,1728439.78,0,0.0625,13,4,30223.67,16509.86
287,216,4,490,410,12,220,463341.9,0,0.2333,6,5,24417.76,8715.45
288,1214,2,280,456,10,361,455076.57,0,0.268,57.1,3.4,20214.42,15520.28
289,1099,13,81,54,5,283,1704860.36,0,0.0787,19.5,3.9,94838.47,63554.97
290,1710,4,1149,288,6,30,3602338.93,0,0.2175,58,1.9,155657.44,124068.67
291,510,18,170,278,10,86,4458340.61,0,0.1527,52.8,2.9,236038.13,104691.17
292,579,16,1606,392,12,332,4061311.05,0,0.4458,46.4,2.6,205705,97765.42
293,1117,10,1614,365,8,256,3989793.51,0,0.2991,3.6,5,78427.31,35118.12
294,1077,2,1114,66,9,385,29660.42,0,0.1121,44.2,2.9,473.44,344.53
295,496,14,380,270,14,225,958891.74,0,0.258,23.9,4.5,30300.66,15067.54
296,948,2,860,389,6,297,4725494.45,0,0.0494,52.8,2.7,90121.69,33342.07
297,94,18,111,13,3,240,4350961.75,0,0.241,34,3.6,90241.37,46189.11
298,625,1,164,343,6,369,634526.43,0,0.4537,15.5,3.8,26447.2,14324.3
299,229,13,415,124,15,446,3181196,0,0.2742,37.2,3.5,60444.95,31837.87
300,250,6,640,77,4,257,2166200.76,0,0.1316,32.8,4.4,88566.52,63899.21
301,1415,17,155,339,4,133,39410.1,0,0.461,42.1,3.5,1050.44,817.65
302,721,17,194,24,11,432,4000962.28,1,0.472,16.7,4.8,66691.87,40805.96
303,980,11,1500,35,11,133,4715731.1,1,0.1594,59.4,2.2,249872.71,155728.85
304,182,6,685,462,7,71,4603968.97,0,0.1117,40.8,3.5,139773.46,66100.41
305,267,20,1836,324,6,340,1921998.51,1,0.0726,24.4,4.2,30238.09,22360.57
